repo_name,repo_name_meta,repo_version,comp_num,comp_bench,matched_comps,author_score,license_score,version_score
Awesome-AutoDL,0,0.0,3,1,0,0.0,0.0,0.0
Firefly,0,0.0,6,10,2,0.0,0.0,1.0
GitGot,0,0.0,3,5,3,0.0,0.0,1.0
SublimeText-Nodejs,0,0.0,3,8,1,0.0,0.0,1.0
Wav2Lip,0,0.0,8,11,8,0.0,0.25003268401098183,0.875
WoeUSB-ng,0,0.0,2,2,1,0.0,0.0,1.0
audible-activator,0,0.0,2,2,2,0.0,0.0,1.0
audiogrep,0,0.0,2,2,1,0.0,1.0,1.0
awesome-industrial-control-system-security,0,0.0,0,0,0,0.0,0.0,0.0
batch-ppo,0,0.0,3,5,2,0.0,0.0,1.0
defx.nvim,0,0.0,5,6,5,0.0,0.0,1.0
django-socketio,0,0.0,3,5,2,0.0,0.0,0.5
dockerizing-django,0,0.0,4,2,2,0.0,0.5,0.0
fbs-tutorial,0,0.0,5,3,1,0.0,0.5,0.0
flask-graphql,0,0.0,3,7,2,0.0,0.0,0.0
gain,0,0.0,3,6,2,0.0,0.0,1.0
gcForest,0,0.0,9,10,9,0.0,0.0,0.8888888888888888
gitosis,0,0.0,1,2,1,0.0,0.0,0.0
google-images-download,0,0.0,1,1,1,0.0,0.0,1.0
hackingtool,0,0.0,6,4,4,0.0,0.0,1.0
leapcast,0,0.0,3,4,3,0.0,0.0,0.6666666666666666
logster,0,0.0,1,2,1,0.0,0.0,0.0
pinject,0,0.0,7,6,5,0.0,0.0,0.2
pretrained-models.pytorch,0,0.0,5,12,5,0.0,0.0,1.0
python-recsys,0,0.0,4,8,4,0.0,0.0,1.0
python-scripts,0,0.0,5,12,5,0.0,0.6,1.0
redis-rdb-tools,0,0.0,1,3,1,0.0,0.0,1.0
rockstar,0,0.0,2,3,2,0.0,0.0,0.0
sotawhat,0,0.0,3,4,3,0.0,0.0,1.0
tf-coreml,0,0.0,5,11,5,0.0,0.0,0.0
trfl,0,0.0,6,6,2,0.0,0.0,1.0
weibo_terminater,0,0.0,26,15,14,0.0,0.14285714285714285,0.8571428571428571
word2vec-api,0,0.0,4,5,4,0.0,0.25,1.0
xmltodict,0,0.0,2,2,1,0.0,0.0,1.0
youtube-8m,0,0.0,2,6,0,0.0,0.0,0.0
zzzzz,0,0.0,8,7,7,0.0,0.2857142857142857,0.9971742543171115
