repo_name,repo_name_meta,repo_version,comp_num,comp_bench,matched_comps,author_score,license_score,version_score
Awesome-AutoDL,0.40589569160997724,0.0,2,1,0,0.0,0.0,0.0
BDFProxy,0.2655038759689922,0.0,0,0,0,0.0,0.0,0.0
CloserLookFewShot,0.32948575656677764,0.0,0,0,0,0.0,0.0,0.0
DXY-COVID-19-Crawler,0.42424242424242425,0.0,1,5,1,0.0,0.0,1.0
DashDoc,0.4444444444444444,0.0,0,0,0,0.0,0.0,0.0
Depix,0.31666666666666665,0.0,0,0,0,0.0,0.0,0.0
Firefly,0.4440753045404208,0.0,0,0,0,0.0,0.0,0.0
Flask-SocketIO,0.31405895691609975,0.0,16,23,13,0.0,0.0,1.0
Flat-Lattice-Transformer,0.4566854990583804,0.0,0,0,0,0.0,0.0,0.0
GetOldTweets-python,0.398635477582846,0.0,0,0,0,0.0,0.0,0.0
GitGot,0.4214092140921409,0.0,0,0,0,0.0,0.0,0.0
IbPy,0.5170940170940171,0.0,0,0,0,0.0,0.0,0.0
Learning-to-See-in-the-Dark,0.5472447546584501,0.0,0,0,0,0.0,0.0,0.0
ML-GCN,0.39701897018970184,0.0,0,0,0,0.0,0.0,0.0
MicrocodeDecryptor,0.4117500249575721,0.0,0,0,0,0.0,0.0,0.0
PythonCrawler,0.4295940170940171,0.0,0,0,0,0.0,0.0,0.0
RepVGG,0.3968253968253968,0.0,0,0,0,0.0,0.0,0.0
SublimeText-Nodejs,0.4109347442680776,0.0,0,0,0,0.0,0.0,0.0
Swar-Chia-Plot-Manager,0.44643806485911747,0.0,9,9,9,0.0,0.0,1.0
Wav2Lip,0.4444444444444444,0.0,7,11,7,0.0,0.0,1.0
WoeUSB-ng,0.34511784511784516,0.0,0,0,0,0.0,0.0,0.0
acme-nosudo,0.4475186649099692,0.0,0,0,0,0.0,0.0,0.0
acme-tiny,0.5454545454545454,0.0,0,0,0,0.0,0.0,0.0
android-resource-remover,0.4640166801183751,0.0,4,5,4,0.0,0.0,1.0
attention,0.598003848003848,0.0,0,0,0,0.0,0.0,0.0
audible-activator,0.419348081112787,0.0,0,0,0,0.0,0.0,0.0
audiogrep,0.4230639730639731,0.0,1,2,1,0.0,0.0,1.0
awesome-industrial-control-system-security,0.6897546897546897,0.0,0,0,0,0.0,0.0,0.0
awesome-sentence-embedding,0.4800598991172762,0.0,0,0,0,0.0,0.0,0.0
batch-ppo,0.5503848003848004,0.0,0,0,0,0.0,0.0,0.0
biaxial-rnn-music-composition,0.541230500821018,0.0,0,0,0,0.0,0.0,0.0
binance-trade-bot,0.42684766214177977,0.0,24,17,14,0.0,0.0,1.0
boom,0.49786324786324787,0.0,3,10,3,0.0,0.0,1.0
cnnimageretrieval-pytorch,0.5171895424836602,0.0,2,5,2,0.0,0.0,1.0
credstash,0.4225589225589226,0.0,0,0,0,0.0,0.0,0.0
d3py,0.5170940170940171,0.0,0,0,0,0.0,0.0,0.0
data_hacks,0.4148148148148148,0.0,0,0,0,0.0,0.0,0.0
deep-learning-project-template,0.5542346542346542,0.0,4,12,1,0.0,0.0,1.0
defx.nvim,0.35555555555555557,0.0,1,6,0,0.0,0.0,0.0
django-devserver,0.35947712418300654,0.0,0,0,0,0.0,0.0,0.0
django-socketio,0.3926984126984127,0.0,0,0,0,0.0,0.0,0.0
dockerizing-django,0.4480782669461914,0.0,4,2,2,0.0,0.0,0.0
evillimiter,0.31686429512516473,0.0,0,0,0,0.0,0.0,0.0
faceswap,0.38275193798449614,0.0,0,0,0,0.0,0.0,0.0
fbs-tutorial,0.4821850726106045,0.0,1,3,1,0.0,0.0,0.0
flask-graphql,0.297008547008547,0.0,0,0,0,0.0,0.0,0.0
fuck12306,0.4225589225589226,0.0,0,0,0,0.0,0.0,0.0
gain,0.49786324786324787,0.0,0,0,0,0.0,0.0,0.0
gcForest,0.37047803617571057,0.0,0,0,0,0.0,0.0,0.0
gitosis,0.5444444444444444,0.0,0,0,0,0.0,0.0,0.0
google-images-download,0.4781212939107676,0.0,0,0,0,0.0,0.0,0.0
gradify,0.5,0.0,0,0,0,0.0,0.0,0.0
gxgk-wechat-server,0.4117500249575721,0.0,20,21,20,0.0,0.0,1.0
hackingtool,0.4475186649099692,0.0,4,4,0,0.0,0.0,0.0
handout,0.4777777777777778,0.0,0,0,0,0.0,0.0,0.0
hashids-python,0.5394557823129252,0.0,3,2,0,0.0,0.0,0.0
hayaku,0.4132791327913279,0.0,0,0,0,0.0,0.0,0.0
huepy,0.6333333333333333,0.0,0,0,0,0.0,0.0,0.0
hyperas,0.38888888888888884,0.0,0,0,0,0.0,0.0,0.0
iOS-Universal-Framework,0.36646742542099947,0.0,0,0,0,0.0,0.0,0.0
ibrute,0.5047425474254742,0.0,0,0,0,0.0,0.0,0.0
iqhelp,0.524390243902439,0.0,1,69,1,0.0,0.0,0.0
jd-autobuy,0.4756613756613756,0.0,0,0,0,0.0,0.0,0.0
jwt_tool,0.48158914728682173,0.0,4,5,0,0.0,0.0,0.0
leapcast,0.2655038759689922,0.0,0,0,0,0.0,0.0,0.0
lemongraph,0.46570048309178746,0.0,0,0,0,0.0,0.0,0.0
logster,0.38888888888888884,0.0,0,0,0,0.0,0.0,0.0
objc_dep,0.37047803617571057,0.0,0,0,0,0.0,0.0,0.0
pew,0.452991452991453,0.0,3,6,0,0.0,0.0,0.0
pinject,0.38888888888888884,0.0,2,6,0,0.0,0.0,0.0
pipreqs,0.27777777777777773,0.0,9,3,3,0.0,0.0,1.0
pointer-generator,0.5286233374468668,0.0,0,0,0,0.0,0.0,0.0
pretrained-models.pytorch,0.4536455893832943,0.0,0,0,0,0.0,0.0,0.0
python-broadlink,0.5131833036244801,0.0,3,2,1,0.0,0.0,1.0
python-elevator-challenge,0.4975816993464052,0.0,0,0,0,0.0,0.0,0.0
python-recsys,0.46901709401709396,0.0,0,0,0,0.0,0.0,0.0
python-scripts,0.4727891156462585,0.0,5,12,5,0.0,0.0,1.0
