repo_name,pkgs_num,pkgs_bench,matched_pkgs,doc_name,originator_score_r,supplier_score_r,copyright_score_r,version_score_r,dL_score_r,licenseC_score_r,licenseD_score_r,originator_score,supplier_score,version_score,dL_score,licenseC_score,licenseD_score
Awesome-AutoDL,4,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
BDFProxy,1,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
CloserLookFewShot,1,6,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
DXY-COVID-19-Crawler,5,5,3,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333,0.0
DashDoc,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Depix,1,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Firefly,7,10,2,0,0,0,0,0,0,0,0,0.0,0.5,1.0,0.0,0.0,0.0
Flask-SocketIO,21,23,16,0.4273809523809524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.9333333333333333,0.0,0.5,0.0
Flat-Lattice-Transformer,1,5,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
GetOldTweets-python,3,4,2,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0
GitGot,4,5,3,0,0,0,0,0,0,0,0,0.0,0.6666666666666666,1.0,0.0,0.0,0.0
IbPy,1,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Learning-to-See-in-the-Dark,1,5,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ML-GCN,1,6,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
MicrocodeDecryptor,1,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
PythonCrawler,1,10,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
RepVGG,1,10,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
SublimeText-Nodejs,4,8,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Swar-Chia-Plot-Manager,10,9,9,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.7222222222222222,0.0
Wav2Lip,9,11,8,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.25003268401098183,0.0
WoeUSB-ng,3,2,1,0,0,0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0.0
acme-nosudo,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
android-resource-remover,6,5,4,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.25,0.0
attention,1,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
audible-activator,3,2,2,0,0,0,0,0,0,0,0,0.0,0.5,1.0,0.0,0.0,0.0
audiogrep,3,2,1,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0
awesome-industrial-control-system-security,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
awesome-sentence-embedding,1,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
batch-ppo,4,5,2,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0
biaxial-rnn-music-composition,1,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
binance-trade-bot,17,17,15,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.6333333333333333,0.0
boom,6,10,5,0,0,0,0,0,0,0,0,0.0,0.4,1.0,0.0,0.6,0.0
cnnimageretrieval-pytorch,5,5,2,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0
credstash,5,8,4,0,0,0,0,0,0,0,0,0.0,0.25,1.0,0.0,0.0,0.0
d3py,1,18,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
data_hacks,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
deep-learning-project-template,15,12,11,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0
defx.nvim,6,6,5,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0
django-devserver,6,7,5,0,0,0,0,0,0,0,0,0.0,0.4,1.0,0.0,0.0,0.0
django-socketio,4,5,2,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.0,0.0,0.0
dockerizing-django,5,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.5,0.0
evillimiter,7,7,6,0,0,0,0,0,0,0,0,0.0,0.5,1.0,0.0,0.0,0.0
faceswap,1,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
fbs-tutorial,6,3,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
flask-graphql,4,7,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
fuck12306,1,4,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
gain,4,6,2,0,0,0,0,0,0,0,0,0.0,0.5,1.0,0.0,0.0,0.0
