repo_name,pkgs_num,pkgs_bench,matched_pkgs,doc_name,originator_score_r,supplier_score_r,copyright_score_r,version_score_r,dL_score_r,licenseC_score_r,licenseD_score_r,originator_score,supplier_score,version_score,dL_score,licenseC_score,licenseD_score
Awesome-AutoDL,4,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
BDFProxy,1,2,0,0.3958333333333333,0.0,0.0,0.0,0.6749999999999999,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CloserLookFewShot,1,6,0,0.411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DXY-COVID-19-Crawler,1,5,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
DashDoc,1,1,0,0.5386904761904762,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Depix,1,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Firefly,1,10,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Flask-SocketIO,2,23,1,0.4898809523809524,0.0,0.0,0.841025641025641,0.6749999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flat-Lattice-Transformer,1,5,0,0.4861111111111111,0.0,0.0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
GetOldTweets-python,1,4,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
IbPy,1,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Learning-to-See-in-the-Dark,1,5,0,0.43209876543209874,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML-GCN,1,6,0,0.0,0.0,0.0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MicrocodeDecryptor,1,2,0,0.4583333333333333,0.0,0.0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PythonCrawler,1,10,0,0.3525641025641026,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RepVGG,1,10,0,0.40972222222222227,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
