repo_name,pkgs_num,pkgs_bench,matched_pkgs,doc_name,originator_score_r,supplier_score_r,copyright_score_r,version_score_r,dL_score_r,licenseC_score_r,licenseD_score_r,originator_score,supplier_score,version_score,dL_score,licenseC_score,licenseD_score
Awesome-AutoDL,1,1,0,0.7962962962962963,0.0,0.5651260504201682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BDFProxy,1,2,0,0.7777777777777777,0.0,0.5010822510822511,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CloserLookFewShot,1,6,0,0.8015873015873015,0.0,0.5585253456221199,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DXY-COVID-19-Crawler,9,5,3,0.8055555555555557,0.0,0.49411764705882355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0
DashDoc,1,1,0,0.7727272727272728,0.0,0.503968253968254,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Depix,1,2,0,0.674074074074074,0.0,0.49415204678362573,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Firefly,19,10,2,0.6298701298701298,0.0,0.4920634920634921,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.5
Flask-SocketIO,22,23,16,0.7962962962962963,0.0,0.54004329004329,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.8666666666666667,0.0,0.5666666666666667,0.0
Flat-Lattice-Transformer,1,5,0,0.8095238095238096,0.0,0.47556390977443613,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
GetOldTweets-python,4,4,2,0.8043478260869565,0.0,0.44787878787878793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
GitGot,17,5,4,0.7666666666666666,0.0,0.7131754705525197,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5416666666666666,0.0
IbPy,1,3,0,0.75,0.0,0.4400871459694989,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Learning-to-See-in-the-Dark,1,5,0,0.8118279569892474,0.0,0.4840149153371233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML-GCN,1,6,0,0.7666666666666666,0.0,0.5071428571428571,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MicrocodeDecryptor,1,2,0,0.8030303030303031,0.0,0.48214285714285715,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PythonCrawler,1,10,0,0.7941176470588235,0.0,0.5518518518518518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RepVGG,1,10,0,0.7666666666666666,0.0,0.5597222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SublimeText-Nodejs,3,8,0,0.8030303030303031,0.0,0.5173611111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Swar-Chia-Plot-Manager,13,9,3,0.8076923076923078,0.0,0.6544205495818399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0
Wav2Lip,1,11,0,0.6471861471861472,0.0,0.4507936507936508,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
WoeUSB-ng,1,2,0,0.782051282051282,0.0,0.6555265172513925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acme-nosudo,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
acme-tiny,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
android-resource-remover,3,5,1,0.8095238095238096,0.0,0.47556390977443613,1,0.0,0.0,0.0,0.0,0.0,0.0,0.27999999999999997,0.0,0.0,0.0
attention,1,2,0,0.782051282051282,0.0,0.46302489780750644,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
audible-activator,1,2,0,0.8015873015873015,0.0,0.6720958928256655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
audiogrep,2,2,1,0.782051282051282,0.0,0.6055482359830185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
awesome-industrial-control-system-security,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
awesome-sentence-embedding,1,3,0,0.8111111111111112,0.0,0.6812159058283088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
batch-ppo,1,5,0,0.782051282051282,0.0,0.5485111989459815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biaxial-rnn-music-composition,1,3,0,0.8131313131313131,0.0,0.568844592100406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance-trade-bot,69,17,14,0.8015873015873015,0.0,0.48003072196620583,1,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.75,0.14285714285714285
boom,16,10,2,0.75,0.0,0.5111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,0.0
cnnimageretrieval-pytorch,1,5,0,0.8103448275862069,0.0,0.39847189847189846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
credstash,11,8,3,0.782051282051282,0.0,0.7868083003952568,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.1111111111111111,0.0
d3py,1,18,0,0.75,0.0,0.5145502645502645,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
data_hacks,1,1,0,0.7857142857142857,0.0,0.49603174603174605,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
deep-learning-project-template,1,12,0,0.8137254901960785,0.0,0.47597402597402594,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
defx.nvim,24,6,5,0.782051282051282,0.0,0.47765700483091783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0
django-devserver,12,7,5,0.7999999999999999,0.0,0.5822909950569525,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.6,0.2
django-socketio,1,5,0,0.7982456140350878,0.0,0.5784825947097753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dockerizing-django,6,2,2,0.8030303030303031,0.0,0.48214285714285715,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0
evillimiter,9,7,6,0.7888888888888889,0.0,0.49277777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.6666666666666666,0.0
faceswap,1,3,0,0.7777777777777777,0.0,0.5252525252525252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fbs-tutorial,1,3,0,0.7916666666666666,0.0,0.688209639822543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flask-graphql,1,7,0,0.7941176470588235,0.0,0.49122807017543857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fuck12306,1,4,0,0.782051282051282,0.0,0.48113810741687973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gain,16,6,3,0.75,0.0,0.7214364798742811,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0
gcForest,1,10,0,0.7777777777777777,0.0,0.5010822510822511,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
gitosis,1,2,0,0.7727272727272728,0.0,0.7184873949579833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
google-images-download,1,1,0,0.8076923076923078,0.0,0.4820261437908497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gradify,1,1,0,0.7727272727272728,0.0,0.49819624819624825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gxgk-wechat-server,2,21,0,0.8030303030303031,0.0,0.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hackingtool,19,4,4,0.7888888888888889,0.0,0.5774358974358974,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.75,0.25
