repo_name,pkgs_num,pkgs_bench,matched_pkgs,doc_name,originator_score_r,supplier_score_r,copyright_score_r,version_score_r,dL_score_r,licenseC_score_r,licenseD_score_r,originator_score,supplier_score,version_score,dL_score,licenseC_score,licenseD_score
Awesome-AutoDL,3,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
BDFProxy,1,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
CloserLookFewShot,1,6,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
DXY-COVID-19-Crawler,2,5,1,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0
DashDoc,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Depix,1,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Firefly,1,10,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Flask-SocketIO,17,23,13,0,0,0,0,0,0,0,0,0.0,0.6153846153846154,1.0,0.0,0.0,0.0
Flat-Lattice-Transformer,1,5,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
GetOldTweets-python,1,4,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
GitGot,1,5,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
IbPy,1,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Learning-to-See-in-the-Dark,1,5,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ML-GCN,1,6,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
MicrocodeDecryptor,1,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
PythonCrawler,1,10,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
RepVGG,1,10,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
SublimeText-Nodejs,1,8,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Swar-Chia-Plot-Manager,10,9,9,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0
Wav2Lip,8,11,7,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0
WoeUSB-ng,1,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
acme-nosudo,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
acme-tiny,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
android-resource-remover,5,5,4,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0
attention,1,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
audible-activator,1,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
audiogrep,2,2,1,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0
awesome-industrial-control-system-security,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
awesome-sentence-embedding,1,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
batch-ppo,1,5,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
biaxial-rnn-music-composition,1,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
binance-trade-bot,25,17,14,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.14285714285714285,0.14285714285714285
boom,4,10,3,0,0,0,0,0,0,0,0,0.0,0.6666666666666666,1.0,0.0,0.0,0.0
cnnimageretrieval-pytorch,3,5,2,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0
credstash,1,8,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
d3py,1,18,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
data_hacks,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
deep-learning-project-template,5,12,1,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,1.0,1.0
defx.nvim,2,6,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
django-devserver,1,7,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
django-socketio,1,5,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
dockerizing-django,5,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
evillimiter,1,7,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
faceswap,1,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
fbs-tutorial,2,3,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
flask-graphql,1,7,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
fuck12306,1,4,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
gain,1,6,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
gcForest,1,10,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
gitosis,1,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
google-images-download,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
gradify,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
gxgk-wechat-server,21,21,20,0,0,0,0,0,0,0,0,0.0,0.3,1.0,0.0,0.05,0.05
hackingtool,5,4,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
handout,1,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
hashids-python,4,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
hayaku,1,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
huepy,1,4,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
hyperas,1,16,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
iOS-Universal-Framework,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ibrute,1,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
iqhelp,2,69,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
jd-autobuy,1,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
jwt_tool,5,5,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
leapcast,1,4,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
lemongraph,1,9,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
logster,1,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
objc_dep,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
