repo_name,repo_name_meta,repo_version,comp_num1,comp_num2,matched_comps,author_score,type_score,purl_score,cpe_score,license_score,version_score
Logan,0,0.0,1181,2203,961,0.0,0.9542143600416233,0.9630452933288614,0.0,0.026014568158168574,0.9589347673444851
liquid-dsp,0,0.0,5,2,2,0.0,0.0,0.8948306595365418,0.0,0.0,0.75
Arduino_Core_STM32,0,0.0,8,19,5,0.0,0.8,0.8304506365153266,0.0,0.0,0.6
RetroArch,0,0.0,98,15,5,0.0,0.2,0.864098514098514,0.0,0.0,0.65
pipelinedb,0,0.0,2,2,2,0.0,1.0,1.0,0.0,0.5,1.0
MemProcFS,0,0.0,7,17,7,0.0,1.0,0.35283359497645217,0.0,0.0,0.5678571428571428
klipper,0,0.0,24,6,6,0.0,1.0,1.0,0.0,0.3333333333333333,1.0
sysbench,0,0.0,1,9,1,0.0,0.0,0.8484848484848485,0.0,0.0,1.0
zephyr,0,0.0,93,1211,68,0.0,0.8823529411764706,0.7719560877072349,0.0,0.0,0.34938038760720014
InfiniTime,0,0.0,20,22,16,0.0,0.8125,0.8978770349408222,0.0,0.0,0.8601744186046512
SoftEtherVPN,0,0.0,191,275,162,0.0,0.9753086419753086,0.9530306605757833,0.0,0.0,0.9296736717660987
box86,0,0.0,4,8,2,0.0,0.0,0.8617424242424243,0.0,0.0,0.3333333333333333
katran,0,0.0,3,97,3,0.0,0.0,0.8831369248035915,0.0,0.0,0.6666666666666666
mpc,0,0.0,1,1,1,0.0,0.0,0.9333333333333333,0.0,0.0,1.0
llama.cpp,0,0.0,96,42,17,0.0,0.6470588235294118,0.858859862388785,0.0,0.029411764705882353,0.754493806846748
rawdrawandroid,0,0.0,2,2,2,0.0,0.0,0.9396396396396396,0.0,0.0,0.625
Telegram-iOS,0,0.0,3,95,3,0.0,0.0,0.9433862433862433,0.0,0.0,1.0
L-ink_Card,0,0.0,15,40,15,0.0,0.9333333333333333,0.7926837667798766,0.0,0.0,0.26666666666666666
odyssey,0,0.0,14,29,3,0.0,0.3333333333333333,0.8820685487352155,0.0,0.0,1.0
renderer,0,0.0,1,6,1,0.0,0.0,0.8235294117647058,0.0,0.0,1.0
hydra,0,0.0,21,7,0,0.0,0.0,0.0,0.0,0.0,0.0
ettercap,0,0.0,3,41,1,0.0,0.0,0.9333333333333333,0.0,0.0,1.0
ovs,0,0.0,16,32,10,0.0,0.6,0.7879977168020647,0.0,0.0,0.25
nginx-http-flv-module,0,0.0,1,1,1,0.0,0.0,0.9333333333333333,0.0,0.0,1.0
rt-thread,0,0.0,10,4,3,0.0,0.0,0.8627832377832378,0.0,0.0,0.75
OpenBLAS,0,0.0,14,19,4,0.0,0.25,0.8524398395721926,0.0,0.0,0.75
nmap,0,0.0,2,34,0,0.0,0.0,0.0,0.0,0.0,0.0
0day,0,0.0,39,160,20,0.0,0.75,0.7971539757692645,0.0,0.05,0.745
robotjs,0,0.0,293,342,292,0.0,0.9863013698630136,0.9906675391349854,0.0,0.0,0.9888509905729858
pianobar,0,0.0,1,1,1,0.0,0.0,0.8484848484848485,0.0,0.0,1.0
simplewall,0,0.0,1,1,1,0.0,1.0,0.2653061224489796,0.0,0.0,1.0
UEFITool,0,0.0,10,11,7,0.0,0.5714285714285714,0.8839234783112335,0.0,0.0,1.0
git,0,0.0,11,19,9,0.0,0.4444444444444444,0.8773988970576396,0.0,0.0,0.4992063492063492
nuttx,0,0.0,57,59,44,0.0,0.8409090909090909,0.912873806139454,0.0,0.0,0.7071879553469552
sanitizers,0,0.0,1,8,0,0.0,0.0,0.0,0.0,0.0,0.0
OpenCorePkg,0,0.0,4,4,4,0.0,0.5,0.6945356258737834,0.0,0.0,0.5291666666666667
allegro5,0,0.0,5,64,4,0.0,0.5,0.8941065062388592,0.0,0.0,0.8541666666666666
libevent,0,0.0,19,24,10,0.0,0.7,0.6930361070253295,0.0,0.0,0.5228571428571429
VeraCrypt,0,0.0,4,1,0,0.0,0.0,0.0,0.0,0.0,0.0
kcat,0,0.0,4,4,2,0.0,0.5,0.8303030303030303,0.0,0.0,1.0
rnnoise,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
opus,0,0.0,25,1,0,0.0,0.0,0.0,0.0,0.0,0.0
curl,0,0.0,24,85,13,0.0,0.6153846153846154,0.570562797129692,0.0,0.0,0.20769230769230768
damus,0,0.0,7,6,0,0.0,0.0,0.0,0.0,0.0,0.0
open62541,0,0.0,12,32,7,0.0,0.5714285714285714,0.8998712746943619,0.0,0.0,0.6642857142857144
lk,0,0.0,4,4,4,0.0,0.5,0.9061688311688312,0.0,0.0,0.625
vlc,0,0.0,4,136,0,0.0,0.0,0.0,0.0,0.0,0.0
shadowsocksr-native,0,0.0,1,5,1,0.0,0.0,0.9333333333333333,0.0,0.0,1.0
WinObjC,0,0.0,29,13,1,0.0,1.0,0.3783783783783784,0.0,0.0,1.0
Watchy,0,0.0,5,5,5,0.0,0.4,0.8306854256854257,0.0,0.0,1.0
civetweb,0,0.0,9,18,2,0.0,0.0,0.8617424242424243,0.0,0.0,0.625
pygame,0,0.0,9,24,8,0.0,0.375,0.8402676338964179,0.0,0.0,0.5519246031746031
libfaketime,0,0.0,1,1,1,0.0,0.0,0.9333333333333333,0.0,0.0,1.0
linux,0,0.0,7,27,5,0.0,0.6,0.8923160173160174,0.0,0.0,0.7
quickjs,0,0.0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0
SimpleKernel,0,0.0,1,1,1,0.0,0.0,0.9333333333333333,0.0,0.0,1.0
facil.io,0,0.0,6,1,0,0.0,0.0,0.0,0.0,0.0,0.0
RIOT,0,0.0,162,101,68,0.0,0.9411764705882353,0.5935229009011771,0.0,0.0,0.9001279556567718
oot,0,0.0,29,6,6,0.0,1.0,0.6611310473152578,0.0,0.0,1.0
input-leap,0,0.0,6,7,2,0.0,0.0,0.8617424242424243,0.0,0.0,0.25
varnish-cache,0,0.0,5,5,3,0.0,0.3333333333333333,0.9198509485094851,0.0,0.0,0.9166666666666666
rufus,0,0.0,12,17,5,0.0,0.6,0.9251147922115663,0.0,0.0,0.5900000000000001
btrfs,0,0.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
LCUI,0,0.0,7,211,6,0.0,0.3333333333333333,0.888236829876112,0.0,0.0,0.75
mpv,0,0.0,12,62,4,0.0,0.5,0.8576481729055259,0.0,0.0,0.562
yyjson,0,0.0,3,9,3,0.0,0.6666666666666666,0.8700848530684039,0.0,0.0,0.3055555555555555
oniguruma,0,0.0,7,8,2,0.0,0.0,0.9396396396396396,0.0,0.0,1.0
cjdns,0,0.0,168,156,151,0.0,0.9867549668874173,0.6371079468181572,0.0,0.0,0.9986754966887418
iodine,0,0.0,5,5,5,0.0,0.8,0.8549811509370333,0.0,0.0,0.9
fwupd,0,0.0,17,51,8,0.0,0.625,0.4593944662839221,0.0,0.0,0.42187499999999994
uwsgi,0,0.0,2,5,1,0.0,0.0,0.8484848484848485,0.0,0.0,0.5
ltp,0,0.0,5,2,1,0.0,0.0,0.8484848484848485,0.0,0.0,0.5
deconz-rest-plugin,0,0.0,6,8,3,0.0,0.3333333333333333,0.9099887766554433,0.0,0.0,0.75
rofi,0,0.0,9,12,4,0.0,0.75,0.8957287326852544,0.0,0.0,0.8375
qemu-t8030,0,0.0,38,65,4,0.0,1.0,0.9280219780219781,0.0,0.0,0.7873333333333333
earth-reverse-engineering,0,0.0,6,6,6,0.0,1.0,1.0,0.0,0.0,1.0
dpdk,0,0.0,43,70,41,0.0,0.926829268292683,0.9720564814152541,0.0,0.0,0.9338368969253971
nginx-push-stream-module,0,0.0,207,150,134,0.0,0.9626865671641791,0.9119436611188755,0.0,0.0,0.8702618305840196
stb,0,0.0,3,3,1,0.0,0.0,0.9459459459459459,0.0,0.0,1.0
mtr,0,0.0,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0
