repo_name,repo_name_meta,repo_version,comp_num1,comp_num2,matched_comps,author_score,type_score,purl_score,cpe_score,license_score,version_score
liquid-dsp,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
pipelinedb,0,0.0,2,3,2,0.0,0.0,0.5686224489795919,0.0,0.2,1.0
sysbench,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
InfiniTime,0,0.0,20,6,4,0.0,0.0,0.6483164432821182,0.0,0.0,0.44069767441860463
box86,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
katran,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
rawdrawandroid,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
L-ink_Card,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
renderer,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ettercap,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ovs,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
nginx-http-flv-module,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
rt-thread,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
OpenBLAS,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
nmap,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
pianobar,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
simplewall,0,0.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
UEFITool,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
git,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
nuttx,0,0.0,57,13,1,0.0,0.0,0.8695652173913043,0.0,0.6,0.03333333333333333
OpenCorePkg,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
allegro5,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
libevent,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
VeraCrypt,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
kcat,0,0.0,4,1,0,0.0,0.0,0.0,0.0,0.0,0.0
rnnoise,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
opus,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
curl,0,0.0,24,22,2,0.0,0.0,0.5726744186046512,0.0,0.0,0.0
open62541,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
lk,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
vlc,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
shadowsocksr-native,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Watchy,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
pygame,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
libfaketime,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
linux,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
quickjs,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
SimpleKernel,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
facil.io,0,0.0,6,11,5,0.0,0.0,0.37493903678114204,0.0,0.0,1.0
input-leap,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
varnish-cache,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
rufus,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
btrfs,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mpv,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
oniguruma,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
iodine,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
fwupd,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
uwsgi,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ltp,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
deconz-rest-plugin,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
rofi,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
qemu-t8030,0,0.0,38,3,3,0.0,0.0,0.923076923076923,0.0,0.044444444444444446,0.7164444444444444
stb,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mtr,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
stlink,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
HashCheck,0,0.0,10,7,1,0.0,0.0,0.5714285714285714,0.0,0.0,1.0
rsync,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
firejail,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
unleashed-firmware,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
uftrace,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
guacamole-server,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
kvm-guest-drivers-windows,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
secp256k1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mdp,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
patchelf,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
sslh,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
nanomsg,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
sc,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
raylib,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
pgbackrest,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
systemd,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Ventoy,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
espeak-ng,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ics-openvpn,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ponyc,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
chia-plotter,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
seafile,0,0.0,1,1,1,0.0,0.0,0.6842105263157895,0.0,0.0,0.0
kamailio,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
haxm,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
neomutt,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
nginx-vod-module,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mac-precision-touchpad,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
FreeRTOS-Kernel,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
linked-list-good-taste,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
sokol,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
fio,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
winfile,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
f3,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
