repo_name,repo_name_meta,repo_version,comp_num1,comp_num2,matched_comps,author_score,type_score,purl_score,cpe_score,license_score,version_score
Logan,0,0.0,1181,8,1,0.0,1.0,0.23728813559322035,0.0,0.0,0.9400000000000001
liquid-dsp,0,0.0,5,1,0,0.0,0.0,0.0,0.0,0.0,0.0
Arduino_Core_STM32,0,0.0,8,1,0,0.0,0.0,0.0,0.0,0.0,0.0
RetroArch,0,0.0,98,5,0,0.0,0.0,0.0,0.0,0.0,0.0
pipelinedb,0,0.0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0
MemProcFS,0,0.0,7,4,1,0.0,1.0,0.4230769230769231,0.0,0.0,0.9999999999999999
klipper,0,0.0,24,0,0,0.0,0.0,0.0,0.0,0.0,0.0
sysbench,0,0.0,1,4,0,0.0,0.0,0.0,0.0,0.0,0.0
zephyr,0,0.0,93,2,0,0.0,0.0,0.0,0.0,0.0,0.0
InfiniTime,0,0.0,20,1,0,0.0,0.0,0.0,0.0,0.0,0.0
SoftEtherVPN,0,0.0,191,4,1,0.0,1.0,1.0,0.0,0.0,1.0
box86,0,0.0,4,1,0,0.0,0.0,0.0,0.0,0.0,0.0
katran,0,0.0,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mpc,0,0.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
llama.cpp,0,0.0,96,0,0,0.0,0.0,0.0,0.0,0.0,0.0
rawdrawandroid,0,0.0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Telegram-iOS,0,0.0,3,560,0,0.0,0.0,0.0,0.0,0.0,0.0
L-ink_Card,0,0.0,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0
odyssey,0,0.0,14,7,0,0.0,0.0,0.0,0.0,0.0,0.0
renderer,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
hydra,0,0.0,21,2,0,0.0,0.0,0.0,0.0,0.0,0.0
ettercap,0,0.0,3,1,0,0.0,0.0,0.0,0.0,0.0,0.0
ovs,0,0.0,16,1,0,0.0,0.0,0.0,0.0,0.0,0.0
