repo_name,repo_name_meta,repo_version,comp_num1,comp_num2,matched_comps,author_score,type_score,purl_score,cpe_score,license_score,version_score
Windows-driver-samples,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
liquid-dsp,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
OpenAppFilter,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
pipelinedb,0,0.0,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0
esp32-snippets,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
unqlite,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
sysbench,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
entr,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
InfiniTime,0,0.0,6,1,0,0.0,0.0,0.0,0.0,0.0,0.0
3proxy,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
box86,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
katran,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
skynet,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
esp8266-wiki,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
progress,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
fastdfs,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
rawdrawandroid,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
rosenbridge,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
L-ink_Card,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
sensible-side-buttons,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
renderer,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
siege,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
30dayMakeOS,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
minecraft-weekend,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ettercap,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
os,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
FFmpegMediaMetadataRetriever,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ovs,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
nginx-http-flv-module,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
msysgit,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
rune,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
rt-thread,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
OpenBLAS,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
nmap,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Dummy-Robot,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
pianobar,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
simplewall,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
cpulimit,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ctypes.sh,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
UEFITool,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
bhook,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
jsmn,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
git,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
LDD-LinuxDeviceDrivers,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
nuttx,0,0.0,13,0,0,0.0,0.0,0.0,0.0,0.0,0.0
OpenCorePkg,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
allegro5,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
libevent,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
VeraCrypt,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
kcat,0,0.0,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0
UACME,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
clumsy,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
rnnoise,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
arcore-android-sdk,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
opus,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
curl,0,0.0,22,1,0,0.0,0.0,0.0,0.0,0.0,0.0
open62541,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
HDMI-PI,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
zimg,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
