repo_name,repo_name_meta,repo_version,comp_num1,comp_num2,matched_comps,author_score,type_score,purl_score,cpe_score,license_score,version_score
Logan,0.0,0.0,2499,2203,1373,0.0,0.9592134013109979,0.970734524942867,0.0,0.0,0.9702377677796455
Windows-driver-samples,0.5722222222222223,0.0,19,8,2,0.0,1.0,0.7664835164835164,0.0,0.0,1.0
liquid-dsp,0,0.0,4,2,0,0.0,0.0,0.0,0.0,0.0,0.0
OpenAppFilter,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Arduino_Core_STM32,0.5740740740740741,0.0,18,19,2,0.0,1.0,0.5928243637880684,0.0,0.0,1.0
RetroArch,0.0,0.0,65,15,1,0.0,1.0,0.8269230769230769,0.0,0.0,1.0
pipelinedb,0.45634920634920634,0.0,2,2,2,0.0,1.0,1.0,0.0,0.0,1.0
esp32-snippets,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
MemProcFS,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
klipper,0.0,0.0,27,6,6,0.0,1.0,1.0,0.0,0.0,1.0
Tesseract-OCR-iOS,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
unqlite,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
sysbench,0.0,0.0,1,9,0,0.0,0.0,0.0,0.0,0.0,0.0
zephyr,0.0,0.0,79,1211,1,0.0,1.0,0.5660377358490566,0.0,0.0,1.0
gpdb,0.0,0.0,42,90,39,0.0,1.0,0.9772446325241356,0.0,0.0,1.0
entr,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
InfiniTime,0.45634920634920634,0.0,15,22,0,0.0,0.0,0.0,0.0,0.0,0.0
SoftEtherVPN,0.5777777777777778,0.0,222,275,127,0.0,0.984251968503937,0.9729971054256176,0.0,0.0,0.9471456692913386
3proxy,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
box86,0.4144927536231884,0.0,5,8,0,0.0,0.0,0.0,0.0,0.0,0.0
katran,0.3055555555555555,0.0,3,97,0,0.0,0.0,0.0,0.0,0.0,0.0
skynet,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mpc,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
