repo_name,repo_name_meta,repo_version,comp_num1,comp_num2,matched_comps,author_score,type_score,purl_score,cpe_score,license_score,version_score
Logan,0,0.0,2499,1181,900,0.0,1.0,0.9510546262850235,0.0,0.5838888888888889,0.9491717758228856
liquid-dsp,0,0.0,4,5,0,0.0,0.0,0.0,0.0,0.0,0.0
Arduino_Core_STM32,0,0.0,18,8,0,0.0,0.0,0.0,0.0,0.0,0.0
RetroArch,0,0.0,65,98,0,0.0,0.0,0.0,0.0,0.0,0.0
pipelinedb,0,0.0,2,2,2,0.0,1.0,1.0,0.0,0.0,1.0
MemProcFS,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
klipper,0,0.0,27,24,14,0.0,1.0,0.9965986394557823,0.0,0.0,0.9946428571428572
sysbench,0,0.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
zephyr,0,0.0,79,93,0,0.0,0.0,0.0,0.0,0.0,0.0
InfiniTime,0,0.0,15,20,0,0.0,0.0,0.0,0.0,0.0,0.0
SoftEtherVPN,0,0.0,222,191,126,0.0,1.0,0.9668832760727593,0.0,0.0,0.9585330636539993
box86,0,0.0,5,4,0,0.0,0.0,0.0,0.0,0.0,0.0
katran,0,0.0,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0
mpc,0,0.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
llama.cpp,0,0.0,30,96,2,0.0,1.0,0.9113300492610837,0.0,0.0,0.808197358197358
rawdrawandroid,0,0.0,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0
Telegram-iOS,0,0.0,5,3,0,0.0,0.0,0.0,0.0,0.0,0.0
L-ink_Card,0,0.0,4,15,4,0.0,1.0,1.0,0.0,0.0,1.0
odyssey,0,0.0,16,14,0,0.0,0.0,0.0,0.0,0.0,0.0
renderer,0,0.0,11,1,0,0.0,0.0,0.0,0.0,0.0,0.0
hydra,0,0.0,31,21,0,0.0,0.0,0.0,0.0,0.0,0.0
ettercap,0,0.0,4,3,0,0.0,0.0,0.0,0.0,0.0,0.0
ovs,0,0.0,4,16,0,0.0,0.0,0.0,0.0,0.0,0.0
nginx-http-flv-module,0,0.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
rt-thread,0,0.0,25,10,0,0.0,0.0,0.0,0.0,0.0,0.0
OpenBLAS,0,0.0,15,14,0,0.0,0.0,0.0,0.0,0.0,0.0
nmap,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0day,0,0.0,128,39,19,0.0,1.0,0.8653543733943009,0.0,0.0,0.7842105263157895
robotjs,0,0.0,292,293,291,0.0,1.0,1.0,0.0,0.0,1.0
pianobar,0,0.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
simplewall,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
UEFITool,0,0.0,10,10,0,0.0,0.0,0.0,0.0,0.0,0.0
git,0,0.0,16,11,0,0.0,0.0,0.0,0.0,0.0,0.0
nuttx,0,0.0,93,57,35,0.0,1.0,0.9288644254904759,0.0,0.0,0.7908730214157641
sanitizers,0,0.0,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0
OpenCorePkg,0,0.0,8,4,0,0.0,0.0,0.0,0.0,0.0,0.0
allegro5,0,0.0,7,5,0,0.0,0.0,0.0,0.0,0.0,0.0
libevent,0,0.0,19,19,0,0.0,0.0,0.0,0.0,0.0,0.0
VeraCrypt,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
kcat,0,0.0,3,4,0,0.0,0.0,0.0,0.0,0.0,0.0
rnnoise,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
