repo_name,files_num1,files_num2,matched_files,pkgs_num1,pkgs_num2,matched_pkgs,doc_name,originator_score_r,supplier_score_r,copyright_score_r,version_score_r,PVC_score_r,cpe_score_r,purl_score_r,dL_score_r,licenseC_score_r,licenseD_score_r,originator_score,supplier_score,copyright_score,version_score,PVC_score,cpe_score,purl_score,dL_score,licenseC_score,licenseD_score,checksum_score
Windows-driver-samples,0,0,0,302,2,1,0.47243589743589737,0.0,0.0,0.0,0.375,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
liquid-dsp,0,0,0,1,1,1,0.38095238095238093,0.0,0.0,0.0,0.2346153846153846,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OpenAppFilter,0,0,0,1,1,1,0.406045751633987,0.0,0.0,0.0,0.3666666666666667,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pipelinedb,167,299,0,8,3,3,0.41964285714285715,0.0,0.0,0.0,0.43653846153846154,0,0,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
esp32-snippets,0,0,0,1,1,1,0.34722222222222215,0.0,0.0,0.0,0.4063725490196079,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unqlite,0,0,0,1,1,1,0.537608225108225,0.0,0.0,0.0,0.34722222222222215,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sysbench,0,0,0,2,1,1,0.4305555555555555,0.0,0.0,0.0,0.40454545454545454,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
entr,0,0,0,1,1,1,0.4166666666666667,0.0,0.0,0.0,0.390079365079365,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
InfiniTime,392,1383,1,19,11,7,0.5535714285714285,0.0,0.0,0.0,0.38589743589743586,0,0,0.0,0,0,0,0.0,0.0,0.0,0.9944444444444445,0.0,0.0,0.9940476190476191,0.0,0.0,0.0,0.0
3proxy,0,0,0,1,1,1,0.24166666666666667,0.0,0.0,0.0,0.3787037037037037,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
