repo_name,files_num1,files_num2,matched_files,pkgs_num1,pkgs_num2,matched_pkgs,doc_name,originator_score_r,supplier_score_r,copyright_score_r,version_score_r,PVC_score_r,cpe_score_r,purl_score_r,dL_score_r,licenseC_score_r,licenseD_score_r,originator_score,supplier_score,copyright_score,version_score,PVC_score,cpe_score,purl_score,dL_score,licenseC_score,licenseD_score,checksum_score
Logan,0,0,0,2500,1183,926,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.9076212752989198,0.0,0.0,0.9685062102507689,0.0,0.0,0.0,0.0
Windows-driver-samples,0,0,0,20,13,6,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.2605013550135501,0.0,0.0,0.4826608548493047,0.0,0.0,0.0,0.0
liquid-dsp,0,0,0,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.75,0.0,0.0,0.5,0.0,0.0,0.0,0.0
OpenAppFilter,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arduino_Core_STM32,0,0,0,19,9,7,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.4993396279929537,0.0,0.0,0.0,0.0
RetroArch,0,0,0,66,98,5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.53,0.0,0.0,0.4980040526849038,0.0,0.0,0.0,0.0
pipelinedb,0,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
esp32-snippets,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MemProcFS,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
klipper,0,0,0,28,25,22,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.9617424242424242,0.0,0.0,0.8165658582123285,0.0,0.0,0.0,0.0
Tesseract-OCR-iOS,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unqlite,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sysbench,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0
zephyr,0,0,0,80,91,21,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.6174603174603174,0.0,0.0,0.5437962264366075,0.0,0.0,0.0,0.0
entr,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
InfiniTime,0,0,0,16,19,12,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.6361524305714512,0.0,0.0,0.0,0.0
SoftEtherVPN,0,0,0,223,190,162,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.9565513996623451,0.0,0.0,0.9715829593652849,0.0,0.0,0.0,0.0
3proxy,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
box86,0,0,0,6,5,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.4909574468085106,0.0,0.0,0.0,0.0
katran,0,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.4788201160541586,0.0,0.0,0.0,0.0
skynet,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mpc,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
esp8266-wiki,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
llama.cpp,0,0,0,31,91,16,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.694375,0.0,0.0,0.5667091224799718,0.0,0.0,0.0,0.0
progress,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fastdfs,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rawdrawandroid,0,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.625,0.0,0.0,0.5406976744186047,0.0,0.0,0.0,0.0
rosenbridge,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Telegram-iOS,0,0,0,6,4,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.5654761904761905,0.0,0.0,0.0,0.0
L-ink_Card,0,0,0,5,16,4,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
sensible-side-buttons,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
odyssey,0,0,0,17,15,8,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.9508333333333333,0.0,0.0,0.6960910026303131,0.0,0.0,0.0,0.0
renderer,0,0,0,12,2,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0
