repo_name,repo_name_meta,repo_version,comp_num1,comp_num2,matched_comps,author_score,type_score,purl_score,cpe_score,license_score,version_score
Mallet,0,0.0,13,11,6,0.0,0.3333333333333333,0.857108700315222,0.0,0.6666666666666666,1.0
bazel,0,0.0,15,25,8,0.0,0.5,0.5764696890484708,0.0,0.0,0.7183308162399362
system-design-interviews,0,0.0,22,9,7,0.0,0.14285714285714285,0.813302158170421,0.0,0.42857142857142855,1.0
GravitySnapHelper,0,0.0,3,4,2,0.0,0.0,0.9354166666666667,0.0,0.0,1.0
ysoserial,0,0.0,59,131,51,0.0,0.6470588235294118,0.8034796579440605,0.0,0.4117647058823529,1.0
gobblin,0,0.0,8,24,4,0.0,1.0,0.7388768115942029,0.0,0.0,0.675
autopsy,0,0.0,19,388,17,0.0,0.8823529411764706,0.7257751015045099,0.0,0.0,0.9557143267129585
tomcat-redis-session-manager,0,0.0,16,10,10,0.0,1.0,0.9212814645308924,0.0,0.0,1.0
jdbi,0,0.0,267,155,109,0.0,0.7798165137614679,0.6981458532754609,0.0,0.09174311926605505,0.2645011650843596
CoreNLP,0,0.0,30,49,19,0.0,0.7368421052631579,0.8124492335783221,0.0,0.21052631578947367,0.9488798920377867
StaggeredGridView,0,0.0,4,11,2,0.0,1.0,0.8317610062893082,0.0,0.5,1.0
elasticsearch-analysis-pinyin,0,0.0,25,47,11,0.0,0.5454545454545454,0.8135938602144143,0.0,0.5,0.8181818181818182
tabula-java,0,0.0,21,20,15,0.0,0.3333333333333333,0.8005903362466661,0.0,0.4708333333333333,0.8017373737373737
Android-DirectionalViewPager,0,0.0,15,4,3,0.0,1.0,0.8001236152712403,0.0,0.0,0.6666666666666666
robolectric,0,0.0,9,10,5,0.0,0.2,0.8646103896103897,0.0,0.0,0.55
commons-lang,0,0.0,27,30,13,0.0,0.5384615384615384,0.6514841923621314,0.0,0.3076923076923077,0.6954385726269016
Minestom,0,0.0,6,9,4,0.0,0.5,0.8986291486291487,0.0,0.0,0.875
GreenDroid,0,0.0,3,8,1,0.0,1.0,0.8269230769230769,0.0,1.0,1.0
mongo-hadoop,0,0.0,5,1,0,0.0,0.0,0.0,0.0,0.0,0.0
J2V8,0,0.0,11,10,4,0.0,0.25,0.8365438858470218,0.0,0.25,1.0
EasyBehavior,0,0.0,2,3,2,0.0,0.0,0.9354166666666667,0.0,0.0,1.0
flume,0,0.0,70,54,26,0.0,0.5,0.7899876263270731,0.0,0.34615384615384615,0.8461538461538461
JavaHamcrest,0,0.0,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0
ldbz-shop,0,0.0,136,223,77,0.0,0.5974025974025974,0.8200262694622845,0.0,0.5162337662337663,0.8311688311688312
es,0,0.0,80,105,63,0.0,0.4126984126984127,0.8245308514377767,0.0,0.5595238095238095,1.0
