repo_name,repo_name_meta,repo_version,comp_num1,comp_num2,matched_comps,author_score,type_score,purl_score,cpe_score,license_score,version_score
Mallet,0,0.0,13,5,4,0.0,0.0,1.0,0.0,0.4668831168831169,1.0
system-design-interviews,0,0.0,22,4,4,0.0,0.0,0.9634146341463414,0.0,0.75,1.0
GravitySnapHelper,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
gobblin,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
StaggeredGridView,0,0.0,4,9,1,0.0,0.0,1.0,0.0,1.0,1.0
elasticsearch-analysis-pinyin,0,0.0,25,46,11,0.0,0.0,0.9781385281385281,0.0,0.3060606060606061,0.8181818181818182
tabula-java,0,0.0,21,18,13,0.0,0.0,0.93760935686104,0.0,0.6157051282051282,0.7712354312354311
Android-DirectionalViewPager,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
commons-lang,0,0.0,27,20,8,0.0,0.0,0.9531089124839125,0.0,0.2777777777777778,0.7229166666666667
Minestom,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
GreenDroid,0,0.0,3,8,1,0.0,0.0,1.0,0.0,1.0,1.0
J2V8,0,0.0,11,6,2,0.0,0.0,1.0,0.0,0.2833333333333333,1.0
EasyBehavior,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
JavaHamcrest,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
AdapterDelegates,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
jcommander,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
pinduoduo_backdoor_unpacker,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
sqlite-jdbc,0,0.0,36,25,8,0.0,0.0,0.9387916547969416,0.0,0.3039772727272727,0.7129698426573426
traccar,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
dev-summit-architecture-demo,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
android-sliding-layer-lib,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
AnyLayer,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
droid-fu,0,0.0,9,11,2,0.0,0.0,1.0,0.0,1.0,1.0
robotium,0,0.0,6,12,3,0.0,0.0,1.0,0.0,1.0,1.0
ThreeTenABP,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ormlite-android,0,0.0,18,15,5,0.0,0.0,1.0,0.0,0.4666666666666667,1.0
9-Patch-Resizer,0,0.0,5,1,1,0.0,0.0,1.0,0.0,1.0,1.0
SSM_HRMS,0,0.0,19,24,16,0.0,0.0,0.9371468225597084,0.0,0.40520833333333334,1.0
cube-sdk,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
android-common,0,0.0,7,8,0,0.0,0.0,0.0,0.0,0.0,0.0
phrase,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
hope-boot,0,0.0,46,162,28,0.0,0.0,0.9001400187063877,0.0,0.294047619047619,0.42857142857142855
SpringBoot-Dubbo-Docker-Jenkins,0,0.0,14,82,11,0.0,0.0,0.8975856407912992,0.0,0.2650137741046832,0.45454545454545453
docker-java,0,0.0,72,104,43,0.0,0.0,0.9089212004932911,0.0,0.21563475284405517,0.40598688133571853
base-adapter-helper,0,0.0,10,9,1,0.0,0.0,0.8181818181818182,0.0,0.0,0.0
mp4parser,0,0.0,38,15,7,0.0,0.0,0.9931972789115646,0.0,0.7918367346938776,0.9914285714285713
afwall,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
open-keychain,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
RendererRecyclerViewAdapter,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
jOOR,0,0.0,11,2,1,0.0,0.0,1.0,0.0,0.4,1.0
SpongeForge,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbassador,0,0.0,17,10,7,0.0,0.0,1.0,0.0,0.4976190476190476,1.0
mango,0,0.0,26,38,21,0.0,0.0,0.9865054485744141,0.0,0.45170068027210886,1.0
Android_CN_OAID,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
bt,0,0.0,64,43,22,0.0,0.0,0.9673462344323528,0.0,0.2777548209366391,0.7727272727272727
cron-utils,0,0.0,33,31,11,0.0,0.0,0.9897084048027445,0.0,0.3850354191263282,1.0
spring,0,0.0,35,48,23,0.0,0.0,0.9685484649247643,0.0,0.4126121463077985,0.9271041316906153
Algorithms,0,0.0,4,2,1,0.0,0.0,1.0,0.0,1.0,1.0
HoloEverywhere,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Zhiliao,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
rapidoid,0,0.0,48,49,27,0.0,0.0,0.9400461496157938,0.0,0.1474426807760141,0.5555555555555556
flutter-intellij,0,0.0,12,52,9,0.0,0.0,0.1862242323624438,0.0,0.0,0.7067169990503324
QuestionAnsweringSystem,0,0.0,20,27,12,0.0,0.0,1.0,0.0,0.5,1.0
ExpandingPager,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
classgraph,0,0.0,48,40,14,0.0,0.0,0.9603746042882102,0.0,0.47653318903318903,0.8917177790034934
swagger2word,0,0.0,11,61,8,0.0,0.0,0.8827278096299834,0.0,0.25,0.25
sonarqube-community-branch-plugin,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
android-satellite-menu,0,0.0,2,9,1,0.0,0.0,1.0,0.0,1.0,1.0
tomighty,0,0.0,18,14,8,0.0,0.0,1.0,0.0,0.5875,1.0
Botania,0,0.0,41,28,28,0.0,0.0,0.544724475103642,0.0,0.6699288806431662,0.9827380952380952
six-finger,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
XUpdate,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Java-Concurrency-Progamming-Tutorial,0,0.0,15,70,14,0.0,0.0,0.9112529799528727,0.0,0.2240981240981241,0.6428571428571429
cryptomator,0,0.0,65,65,26,0.0,0.0,0.92619475047787,0.0,0.3217948717948718,0.6484867172169209
truth,0,0.0,43,21,12,0.0,0.0,0.9082922363593404,0.0,0.22671957671957668,0.5689844877344877
greys-anatomy,0,0.0,28,16,13,0.0,0.0,0.9728994082840237,0.0,0.6012820512820514,0.8461538461538461
mvel,0,0.0,11,6,2,0.0,0.0,1.0,0.0,0.5333333333333333,1.0
weixin-sdk,0,0.0,36,22,13,0.0,0.0,0.8634741822524629,0.0,0.07692307692307693,0.07692307692307693
ffmpeg-cli-wrapper,0,0.0,95,29,29,0.0,0.0,0.9289546263171159,0.0,0.32952507262852093,0.5876578880889225
ai-beehive,0,0.0,46,172,27,0.0,0.0,0.9450472233755265,0.0,0.3566508864754479,0.7777777777777778
spring-boot-learning-examples,0,0.0,70,93,24,0.0,0.0,0.9403518829669725,0.0,0.35324074074074074,0.8320833333333333
archaius,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt-java,0,0.0,14,20,13,0.0,0.0,0.9810673822301729,0.0,0.36050616050616047,0.9025641025641025
material-intro,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
sql-father-backend-public,0,0.0,18,154,17,0.0,0.0,0.9275872043969423,0.0,0.34313725490196084,0.47058823529411764
android-samples,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Rajawali,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
stampede,0,0.0,27,108,10,0.0,0.0,0.9198012325784823,0.0,0.0,0.4
http-kit,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
metrics,0,0.0,161,177,55,0.0,0.0,0.9098686570076076,0.0,0.2653501177185388,0.5427661284696857
drag-sort-listview,0,0.0,11,9,2,0.0,0.0,1.0,0.0,1.0,1.0
mybatis-generator-gui,0,0.0,13,15,12,0.0,0.0,0.9868421052631579,0.0,0.5404761904761906,0.9931372549019608
OBAndroid,0,0.0,11,9,1,0.0,0.0,1.0,0.0,1.0,1.0
apk-parser,0,0.0,10,5,4,0.0,0.0,1.0,0.0,0.7666666666666666,1.0
nutch,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
zip4j,0,0.0,14,14,5,0.0,0.0,1.0,0.0,0.5466666666666666,1.0
fitnesse,0,0.0,7,6,0,0.0,0.0,0.0,0.0,0.0,0.0
honest-profiler,0,0.0,15,27,10,0.0,0.0,1.0,0.0,0.45,1.0
lite-rx-api-hands-on,0,0.0,10,17,7,0.0,0.0,0.9574468085106382,0.0,0.34523809523809523,0.7142857142857143
ta4j,0,0.0,24,20,8,0.0,0.0,0.9537350809889173,0.0,0.3773809523809524,0.9046581196581197
dubbo-spring-boot-project,0,0.0,37,132,9,0.0,0.0,0.8183268251335815,0.0,0.024691358024691357,0.1111111111111111
EdXposed,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
play1,0,0.0,11,7,4,0.0,0.0,0.8823809523809523,0.0,0.35,0.5
test-butler,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
aws-sdk-android,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
robospice,0,0.0,76,5,4,0.0,0.0,1.0,0.0,0.875,1.0
android-demos,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ArchUnit,0,0.0,109,55,43,0.0,0.0,0.5022677433981568,0.0,0.6398105770198793,0.8380487935836773
PLMCodeTemplate,0,0.0,39,167,32,0.0,0.0,0.9813818601783986,0.0,0.5293631715506715,0.84125
