repo_name,repo_name_meta,repo_version,comp_num1,comp_num2,matched_comps,author_score,type_score,purl_score,cpe_score,license_score,version_score
Mallet,0,0.0,13,1,0,0.0,0.0,0.0,0.0,0.0,0.0
bazel,0,0.0,15,1285,0,0.0,0.0,0.0,0.0,0.0,0.0
system-design-interviews,0,0.0,22,6,3,0.0,1.0,1.0,0.0,0.0,1.0
GravitySnapHelper,0,0.0,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ysoserial,0,0.0,59,1,0,0.0,0.0,0.0,0.0,0.0,0.0
gobblin,0,0.0,8,1,0,0.0,0.0,0.0,0.0,0.0,0.0
autopsy,0,0.0,19,3,0,0.0,0.0,0.0,0.0,0.0,0.0
tomcat-redis-session-manager,0,0.0,16,1,0,0.0,0.0,0.0,0.0,0.0,0.0
jdbi,0,0.0,267,43,27,0.0,1.0,0.7478638094981447,0.0,0.0,0.6642512077294684
CoreNLP,0,0.0,30,3,1,0.0,1.0,0.9795918367346939,0.0,0.0,0.9374999999999999
StaggeredGridView,0,0.0,4,1,0,0.0,0.0,0.0,0.0,0.0,0.0
elasticsearch-analysis-pinyin,0,0.0,25,1,0,0.0,0.0,0.0,0.0,0.0,0.0
tabula-java,0,0.0,21,1,0,0.0,0.0,0.0,0.0,0.0,0.0
Android-DirectionalViewPager,0,0.0,15,3,1,0.0,1.0,1.0,0.0,0.0,1.0
robolectric,0,0.0,9,1,0,0.0,0.0,0.0,0.0,0.0,0.0
commons-lang,0,0.0,27,1,0,0.0,0.0,0.0,0.0,0.0,0.0
Minestom,0,0.0,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0
GreenDroid,0,0.0,3,1,0,0.0,0.0,0.0,0.0,0.0,0.0
mongo-hadoop,0,0.0,5,4,0,0.0,0.0,0.0,0.0,0.0,0.0
J2V8,0,0.0,11,2,0,0.0,0.0,0.0,0.0,0.0,0.0
EasyBehavior,0,0.0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0
flume,0,0.0,70,11,1,0.0,1.0,0.6875,0.0,0.0,0.0
JavaHamcrest,0,0.0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ldbz-shop,0,0.0,136,35,14,0.0,1.0,1.0,0.0,0.0,1.0
es,0,0.0,80,5,1,0.0,1.0,1.0,0.0,0.0,1.0
paho.mqtt.java,0,0.0,50,12,2,0.0,1.0,0.9920634920634921,0.0,0.0,0.9666666666666666
httpclientutil,0,0.0,8,1,0,0.0,0.0,0.0,0.0,0.0,0.0
AdapterDelegates,0,0.0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0
jcommander,0,0.0,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0
pinduoduo_backdoor_unpacker,0,0.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
PublicCMS,0,0.0,149,8,6,0.0,1.0,0.6637257409833125,0.0,0.0,0.0
sqlite-jdbc,0,0.0,36,1,0,0.0,0.0,0.0,0.0,0.0,0.0
sofa-ark,0,0.0,131,25,20,0.0,1.0,0.6903077072477062,0.0,0.0,0.0
druid,0,0.0,119,7,2,0.0,1.0,0.8043558508674788,0.0,0.25,0.9734848484848484
traccar,0,0.0,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0
docker-maven-plugin,0,0.0,37,12,1,0.0,1.0,1.0,0.0,0.0,1.0
dev-summit-architecture-demo,0,0.0,63,0,0,0.0,0.0,0.0,0.0,0.0,0.0
android-sliding-layer-lib,0,0.0,12,3,1,0.0,1.0,0.3684210526315789,0.0,0.0,1.0
AnyLayer,0,0.0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0
h2o-2,0,0.0,61,8,0,0.0,0.0,0.0,0.0,0.0,0.0
keywhiz,0,0.0,144,9,6,0.0,1.0,1.0,0.0,0.0,1.0
thinking-in-spring-boot-samples,0,0.0,48,31,2,0.0,1.0,1.0,0.0,0.0,1.0
droid-fu,0,0.0,9,1,0,0.0,0.0,0.0,0.0,0.0,0.0
robotium,0,0.0,6,2,0,0.0,0.0,0.0,0.0,0.0,0.0
ThreeTenABP,0,0.0,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ambrose,0,0.0,55,8,0,0.0,0.0,0.0,0.0,0.0,0.0
ormlite-android,0,0.0,18,1,0,0.0,0.0,0.0,0.0,0.0,0.0
