repo_name,repo_name_meta,repo_version,comp_num1,comp_num2,matched_comps,author_score,type_score,purl_score,cpe_score,license_score,version_score
android-parallax-recyclerview,0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
Mallet,0,0.0,1,11,0,0.0,0.0,0.0,0.0,0.0,0.0
functionaljava,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
BGABanner-Android,0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
bazel,0,0.0,1285,25,1,0.0,1.0,0.3125,0.0,0.0,0.0
ZLayoutManager,0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
VideoRecorder,0,0.0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
pinned-section-listview,0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
CheckVersionLib,0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
remote-desktop-clients,0,0.0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0
CustomerManagement,0,0.0,0,9,0,0.0,0.0,0.0,0.0,0.0,0.0
SystemBarTint,0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
GalleryFinal,0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0
system-design-interviews,0,0.0,6,9,5,0.0,0.0,0.8542365070686557,0.0,0.0,1.0
MaterialDateTimePicker,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
TextPathView,0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
GravitySnapHelper,0,0.0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
Android-Terminal-Emulator,0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
CustomPopwindow,0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
LDrawer,0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
ysoserial,0,0.0,1,131,0,0.0,0.0,0.0,0.0,0.0,0.0
QRCodeReaderView,0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
gobblin,0,0.0,1,24,0,0.0,0.0,0.0,0.0,0.0,0.0
DS-Algo-Point,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
android-zxingLibrary,0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0
SuperCalendar,0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
autopsy,0,0.0,3,388,0,0.0,0.0,0.0,0.0,0.0,0.0
anvil,0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
android-iconify,0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
tomcat-redis-session-manager,0,0.0,1,10,0,0.0,0.0,0.0,0.0,0.0,0.0
LolliPin,0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
ToDoList,0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
jdbi,0,0.0,43,155,30,0.0,0.8666666666666667,0.8453286108392608,0.0,0.9,1.0
RxJavaApp,0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
CoreNLP,0,0.0,3,49,0,0.0,0.0,0.0,0.0,0.0,0.0
emojicon,0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
ModularizationArchitecture,0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
EasyRecyclerView,0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
TransitionHelper,0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
StaggeredGridView,0,0.0,1,11,0,0.0,0.0,0.0,0.0,0.0,0.0
DragPhotoView,0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
AsymmetricGridView,0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
WaveLoadingView,0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
cpbook-code,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
toro,0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
Gadgetbridge,0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
react-native-sensitive-info,0,0.0,1,1498,1,0.0,0.0,0.9795918367346939,0.0,0.0,0.9999999999999999
Log4a,0,0.0,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0
elasticsearch-analysis-pinyin,0,0.0,1,47,0,0.0,0.0,0.0,0.0,0.0,0.0
Andromeda,0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
tabula-java,0,0.0,1,20,0,0.0,0.0,0.0,0.0,0.0,0.0
android-gpuimage,0,0.0,0,6,0,0.0,0.0,0.0,0.0,0.0,0.0
Android-DirectionalViewPager,0,0.0,3,4,1,0.0,1.0,0.8421052631578947,0.0,0.0,1.0
MagiskManager,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
SlideUp-Android,0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
TransitionPlayer,0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
robolectric,0,0.0,1,10,0,0.0,0.0,0.0,0.0,0.0,0.0
commons-lang,0,0.0,1,30,1,0.0,0.0,0.7931034482758621,0.0,1.0,0.7142857142857142
RoundedImageView,0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
Minestom,0,0.0,0,9,0,0.0,0.0,0.0,0.0,0.0,0.0
CompactCalendarView,0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
GreenDroid,0,0.0,1,8,0,0.0,0.0,0.0,0.0,0.0,0.0
mongo-hadoop,0,0.0,4,1,0,0.0,0.0,0.0,0.0,0.0,0.0
airpal,0,0.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
DSBridge-Android,0,0.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
J2V8,0,0.0,2,10,0,0.0,0.0,0.0,0.0,0.0,0.0
GlideImageView,0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
EasyBehavior,0,0.0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0
flume,0,0.0,11,54,7,0.0,1.0,0.9004266992436482,0.0,0.14285714285714285,1.0
JavaHamcrest,0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
open_nsfw_android,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Slidr,0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
ldbz-shop,0,0.0,35,223,34,0.0,1.0,0.860479066159525,0.0,0.0,1.0
qualitymatters,0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
es,0,0.0,5,105,2,0.0,1.0,0.9150943396226415,0.0,0.0,1.0
paho.mqtt.java,0,0.0,12,14,2,0.0,1.0,0.8680555555555556,0.0,0.0,0.9666666666666666
UberUX,0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
httpclientutil,0,0.0,1,9,0,0.0,0.0,0.0,0.0,0.0,0.0
Matisse,0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
Curved-Fab-Reveal-Example,0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
json2view,0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
mkloader,0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
java8-tutorial,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
AdapterDelegates,0,0.0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0
brickhouse,0,0.0,1,88,0,0.0,0.0,0.0,0.0,0.0,0.0
LRecyclerView,0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
smoothie,0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
ECTranslation,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
baseAdapter,0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
fastdex,0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0
KenBurnsView,0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
jcommander,0,0.0,0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
