repo_name,repo_name_meta,repo_version,comp_num1,comp_num2,matched_comps,author_score,type_score,purl_score,cpe_score,license_score,version_score
android-parallax-recyclerview,0.45169082125603865,0.0,1,1,1,0.0,1.0,0.875,0.0,0.0,1.0
Mallet,0.4734299516908213,0.0,25,11,7,0.0,0.42857142857142855,0.6614300274415624,0.0,0.14285714285714285,0.9010073117216116
functionaljava,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
BGABanner-Android,0.4542483660130719,0.0,1,1,1,0.0,1.0,0.8301886792452831,0.0,0.0,1.0
bazel,0.0,0.0,72,25,13,0.0,0.6153846153846154,0.5163523201067487,0.0,0.0,0.9692307692307693
ZLayoutManager,0.4551971326164875,0.0,1,1,1,0.0,1.0,0.8301886792452831,0.0,0.0,1.0
VideoRecorder,0.45555555555555555,0.0,7,4,3,0.0,1.0,0.842906030336663,0.0,0.0,1.0
pinned-section-listview,0.5722222222222223,0.0,1,1,1,0.0,1.0,0.8301886792452831,0.0,0.0,1.0
CheckVersionLib,0.4548611111111111,0.0,2,1,1,0.0,1.0,0.8301886792452831,0.0,0.0,1.0
remote-desktop-clients,0.452991452991453,0.0,13,3,2,0.0,1.0,0.8150943396226416,0.0,0.0,1.0
CustomerManagement,0.45396825396825397,0.0,27,9,9,0.0,1.0,0.7390575452982584,0.0,0.0,0.9970370370370369
SystemBarTint,0.45555555555555555,0.0,1,1,1,0.0,1.0,0.875,0.0,0.0,1.0
GalleryFinal,0.4559386973180077,0.0,2,2,2,0.0,1.0,0.8221153846153846,0.0,0.0,1.0
system-design-interviews,0.48130081300813005,0.0,14,9,7,0.0,0.14285714285714285,0.8304450153132781,0.0,0.0,1.0
MaterialDateTimePicker,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
TextPathView,0.4559386973180077,0.0,1,1,1,0.0,1.0,0.8301886792452831,0.0,0.0,1.0
GravitySnapHelper,0.4542483660130719,0.0,7,4,2,0.0,1.0,0.7035519125683061,0.0,0.0,1.0
Android-Terminal-Emulator,0.4523809523809524,0.0,1,1,1,0.0,1.0,0.875,0.0,0.0,1.0
CustomPopwindow,0.4548611111111111,0.0,1,1,1,0.0,1.0,0.8301886792452831,0.0,0.0,1.0
LDrawer,0.0,0.0,1,1,1,0.0,1.0,0.875,0.0,0.0,1.0
ysoserial,0.43304843304843305,0.0,56,131,48,0.0,0.6666666666666666,0.8149410653243342,0.0,0.0,0.9952850877192981
QRCodeReaderView,0.4545454545454546,0.0,1,1,1,0.0,1.0,0.8301886792452831,0.0,0.0,1.0
gobblin,0.0,0.0,10,24,2,0.0,1.0,0.9150943396226415,0.0,0.0,1.0
DS-Algo-Point,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
android-zxingLibrary,0.4534534534534534,0.0,2,2,2,0.0,1.0,0.8172682526661198,0.0,0.0,1.0
SuperCalendar,0.45555555555555555,0.0,1,1,1,0.0,1.0,0.8301886792452831,0.0,0.0,1.0
autopsy,0.483816425120773,0.0,1028,388,284,0.0,0.4154929577464789,0.7856394530631345,0.0,0.0,0.901821566149031
anvil,0.0,0.0,1,1,1,0.0,1.0,0.8269230769230769,0.0,0.0,1.0
android-iconify,0.4548611111111111,0.0,1,1,1,0.0,1.0,0.8269230769230769,0.0,0.0,1.0
tomcat-redis-session-manager,0.4518518518518519,0.0,10,10,10,0.0,1.0,1.0,0.0,0.0,1.0
LolliPin,0.0,0.0,1,1,1,0.0,1.0,0.875,0.0,0.0,1.0
ToDoList,0.0,0.0,1,1,1,0.0,1.0,0.8301886792452831,0.0,0.0,1.0
jdbi,0.42857142857142855,0.0,386,155,101,0.0,0.801980198019802,0.7450195226722565,0.0,0.0,0.5643564356435643
RxJavaApp,0.0,0.0,1,1,1,0.0,1.0,0.82,0.0,0.0,1.0
CoreNLP,0.4908730158730159,0.0,105,49,35,0.0,0.7428571428571429,0.8057233867161306,0.0,0.0,1.0
emojicon,0.0,0.0,1,1,1,0.0,1.0,0.875,0.0,0.0,1.0
ModularizationArchitecture,0.45219638242894056,0.0,1,1,1,0.0,1.0,0.8301886792452831,0.0,0.0,1.0
EasyRecyclerView,0.4545454545454546,0.0,1,1,1,0.0,1.0,0.875,0.0,0.0,1.0
TransitionHelper,0.4545454545454546,0.0,2,1,1,0.0,1.0,0.8301886792452831,0.0,0.0,1.0
StaggeredGridView,0.49411764705882355,0.0,3,11,2,0.0,1.0,0.8317610062893082,0.0,0.0,1.0
DragPhotoView,0.45555555555555555,0.0,1,1,1,0.0,1.0,0.8301886792452831,0.0,0.0,1.0
AsymmetricGridView,0.45396825396825397,0.0,1,1,1,0.0,1.0,0.875,0.0,0.0,1.0
WaveLoadingView,0.4548611111111111,0.0,1,1,1,0.0,1.0,0.8269230769230769,0.0,0.0,1.0
cpbook-code,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
toro,0.0,0.0,2,1,1,0.0,0.0,0.875,0.0,0.0,1.0
Gadgetbridge,0.4559386973180077,0.0,1,1,1,0.0,1.0,0.875,0.0,0.0,1.0
react-native-sensitive-info,0.7354096520763188,0.0,2205,1498,935,0.0,0.9689839572192513,0.9804661928356752,0.0,0.0,0.9837010489158313
Log4a,0.0,0.0,1,7,1,0.0,1.0,0.8301886792452831,0.0,0.0,1.0
elasticsearch-analysis-pinyin,0.7158920539730135,0.0,11,47,10,0.0,0.7,0.8238567275783615,0.0,0.0,1.0
Andromeda,0.0,0.0,1,1,1,0.0,1.0,0.8301886792452831,0.0,0.0,1.0
tabula-java,0.6039682539682539,0.0,17,20,13,0.0,0.38461538461538464,0.8250282231851925,0.0,0.0,1.0
android-gpuimage,0,0.0,1,6,0,0.0,0.0,0.0,0.0,0.0,0.0
Android-DirectionalViewPager,0.29259259259259257,0.0,7,4,3,0.0,1.0,0.8186421337897589,0.0,0.0,1.0
MagiskManager,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
SlideUp-Android,0.4548611111111111,0.0,1,1,1,0.0,1.0,0.8301886792452831,0.0,0.0,1.0
TransitionPlayer,0.4545454545454546,0.0,1,1,1,0.0,1.0,0.875,0.0,0.0,1.0
robolectric,0,0.0,28,10,2,0.0,1.0,0.7664835164835164,0.0,0.0,1.0
commons-lang,0.44503389330975535,0.0,24,30,12,0.0,0.8333333333333334,0.7115810652107385,0.0,0.0,0.9166666666666666
RoundedImageView,0.4545454545454546,0.0,1,1,1,0.0,1.0,0.8269230769230769,0.0,0.0,1.0
Minestom,0,0.0,15,9,3,0.0,1.0,0.7458374958374958,0.0,0.0,1.0
CompactCalendarView,0.4537037037037037,0.0,1,1,1,0.0,1.0,0.875,0.0,0.0,1.0
GreenDroid,0.3592592592592592,0.0,1,8,1,0.0,1.0,0.8269230769230769,0.0,0.0,1.0
mongo-hadoop,0.4559386973180077,0.0,2,1,1,0.0,1.0,0.8301886792452831,0.0,0.0,1.0
airpal,0.0,0.0,1,1,1,0.0,1.0,0.8333333333333334,0.0,0.0,1.0
DSBridge-Android,0.4545454545454546,0.0,1,1,1,0.0,1.0,0.8301886792452831,0.0,0.0,1.0
J2V8,0.43977591036414565,0.0,7,10,3,0.0,0.6666666666666666,0.7953689167974881,0.0,0.0,1.0
GlideImageView,0.4551971326164875,0.0,1,1,1,0.0,1.0,0.8301886792452831,0.0,0.0,1.0
EasyBehavior,0.4559386973180077,0.0,3,3,1,0.0,1.0,0.8301886792452831,0.0,0.0,1.0
flume,0.3303030303030303,0.0,56,54,29,0.0,0.5517241379310345,0.819520963509837,0.0,0.0,1.0
JavaHamcrest,0.4559386973180077,0.0,3,1,1,0.0,1.0,0.8363636363636363,0.0,0.0,1.0
open_nsfw_android,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Slidr,0.0,0.0,1,1,1,0.0,1.0,0.875,0.0,0.0,1.0
ldbz-shop,0.3717948717948718,0.0,213,223,78,0.0,0.6153846153846154,0.832234108819058,0.0,0.0,0.9358974358974359
qualitymatters,0.4551971326164875,0.0,1,1,1,0.0,1.0,0.8333333333333334,0.0,0.0,1.0
es,0.4064327485380117,0.0,66,105,63,0.0,0.4126984126984127,0.8271031583579094,0.0,0.0,0.9858201058201058
paho.mqtt.java,0.5257428889242015,0.0,16,14,6,0.0,0.8333333333333334,0.8260222567287784,0.0,0.0,1.0
UberUX,0.0,0.0,1,1,1,0.0,1.0,0.8301886792452831,0.0,0.0,1.0
httpclientutil,0.5456221198156682,0.0,5,9,5,0.0,0.2,0.830482407326496,0.0,0.0,1.0
Matisse,0.0,0.0,1,1,1,0.0,1.0,0.8301886792452831,0.0,0.0,1.0
Curved-Fab-Reveal-Example,0.4523809523809524,0.0,1,1,1,0.0,1.0,0.875,0.0,0.0,1.0
json2view,0.0,0.0,1,1,1,0.0,1.0,0.875,0.0,0.0,1.0
mkloader,0.0,0.0,1,1,1,0.0,1.0,0.8301886792452831,0.0,0.0,1.0
java8-tutorial,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
AdapterDelegates,0.4545454545454546,0.0,7,3,1,0.0,1.0,0.8269230769230769,0.0,0.0,1.0
brickhouse,0.34938271604938276,0.0,13,88,13,0.0,0.46153846153846156,0.8229171806142056,0.0,0.0,1.0
LRecyclerView,0.45555555555555555,0.0,1,1,1,0.0,1.0,0.875,0.0,0.0,1.0
smoothie,0.0,0.0,1,1,1,0.0,1.0,0.8269230769230769,0.0,0.0,1.0
ECTranslation,0,0.0,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0
baseAdapter,0.45634920634920634,0.0,1,1,1,0.0,1.0,0.875,0.0,0.0,1.0
fastdex,0.0,0.0,5,2,2,0.0,0.5,0.7950404858299596,0.0,0.0,1.0
KenBurnsView,0.4559386973180077,0.0,3,1,1,0.0,1.0,0.8269230769230769,0.0,0.0,1.0
jcommander,0.0,0.0,8,5,3,0.0,1.0,0.8647642679900743,0.0,0.0,1.0
react-native-image-picker,0.7450793650793651,0.0,1913,1673,947,0.0,0.9704329461457233,0.9655118348766578,0.0,0.0,0.951328911730233
react-native-geolocation-service,0.7385204081632653,0.0,1760,1506,853,0.0,0.9601406799531067,0.9896366876118413,0.0,0.0,0.9899072095010514
pinduoduo_backdoor_unpacker,0,0.0,1,1,1,0.0,1.0,0.7567567567567568,0.0,0.0,1.0
road-trip,0.0,0.0,2,2,2,0.0,1.0,0.6145833333333334,0.0,0.0,1.0
android-priority-jobqueue,0.4523809523809524,0.0,37,10,9,0.0,1.0,0.6939078533646443,0.0,0.0,1.0
droidicon,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
PublicCMS,0.4358974358974359,0.0,77,196,64,0.0,0.484375,0.7220932561936739,0.0,0.0,0.0625
FragmentAnimations,0.45396825396825397,0.0,1,1,1,0.0,1.0,0.8269230769230769,0.0,0.0,1.0
WheelPicker,0.45634920634920634,0.0,1,1,1,0.0,1.0,0.875,0.0,0.0,1.0
Highlight,0.0,0.0,1,1,1,0.0,1.0,0.875,0.0,0.0,1.0
AndroidFaceInterview,0.4534534534534534,0.0,1,1,1,0.0,1.0,0.8269230769230769,0.0,0.0,1.0
sqlite-jdbc,0.45634920634920634,0.0,23,17,7,0.0,1.0,0.7446628563492915,0.0,0.0,1.0
raincat,0.0,0.0,926,1148,820,0.0,0.9195121951219513,0.9804475346733184,0.0,0.00975609756097561,0.9678844850948509
bubbles-for-android,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
aws-sdk-android-samples,0.4527777777777778,0.0,7,2,2,0.0,0.5,0.8275749674054759,0.0,0.0,0.9400000000000001
KnowWeather,0.45634920634920634,0.0,2,2,1,0.0,1.0,0.8301886792452831,0.0,0.0,1.0
BlurredView,0.45634920634920634,0.0,1,1,1,0.0,1.0,0.8301886792452831,0.0,0.0,1.0
druid,0.490981240981241,0.0,115,656,75,0.0,0.4,0.8063434001021531,0.0,0.0,0.8251474747474749
Notes,0.0,0.0,2,1,1,0.0,1.0,0.875,0.0,0.0,1.0
exposed,0.0,0.0,1,1,1,0.0,1.0,0.8301886792452831,0.0,0.0,1.0
CreditSesameRingView,0.4534534534534534,0.0,1,1,1,0.0,1.0,0.8301886792452831,0.0,0.0,1.0
FloatingActionButton,0.4534534534534534,0.0,1,1,1,0.0,1.0,0.875,0.0,0.0,1.0
traccar,0,0.0,6,3,0,0.0,0.0,0.0,0.0,0.0,0.0
pandora,0.0,0.0,1,1,1,0.0,1.0,0.8301886792452831,0.0,0.0,1.0
SimpleTagImageView,0.45396825396825397,0.0,1,1,1,0.0,1.0,0.875,0.0,0.0,1.0
advanced-textview,0.4542483660130719,0.0,1,1,1,0.0,1.0,0.875,0.0,0.0,1.0
Isometric,0.0,0.0,1,1,1,0.0,1.0,0.8363636363636363,0.0,0.0,1.0
docker-maven-plugin,0.616349902534113,0.0,22,6,4,0.0,0.75,0.8279961162096418,0.0,0.0,1.0
dev-summit-architecture-demo,0.4518518518518519,0.0,53,53,53,0.0,0.9622641509433962,0.9976415094339622,0.0,0.0,1.0
