repo_name,repo_name_meta,repo_version,comp_num1,comp_num2,matched_comps,author_score,type_score,purl_score,cpe_score,license_score,version_score
Mallet,0,0.0,25,13,5,0.0,1.0,0.9414080356703307,0.0,0.0,0.8147435897435897
bazel,0,0.0,72,15,1,0.0,1.0,1.0,0.0,0.0,1.0
system-design-interviews,0,0.0,14,22,7,0.0,1.0,0.9790940766550522,0.0,0.0,1.0
GravitySnapHelper,0,0.0,7,3,0,0.0,0.0,0.0,0.0,0.0,0.0
ysoserial,0,0.0,56,59,51,0.0,1.0,0.9599797121394749,0.0,0.0,0.9955624355005159
gobblin,0,0.0,10,8,1,0.0,1.0,1.0,0.0,0.0,1.0
autopsy,0,0.0,1028,19,5,0.0,1.0,0.8529724933451643,0.0,0.0,0.9692307692307693
tomcat-redis-session-manager,0,0.0,10,16,10,0.0,1.0,0.9212814645308924,0.0,0.0,1.0
jdbi,0,0.0,386,267,105,0.0,1.0,0.8450402453342155,0.0,0.0,0.09457580733442802
CoreNLP,0,0.0,105,30,24,0.0,1.0,0.9416435539288538,0.0,0.025000000000000005,0.9569257478632478
StaggeredGridView,0,0.0,3,4,2,0.0,1.0,1.0,0.0,0.0,1.0
elasticsearch-analysis-pinyin,0,0.0,11,25,9,0.0,1.0,1.0,0.0,0.0,1.0
tabula-java,0,0.0,17,21,13,0.0,1.0,0.93760935686104,0.0,0.0,0.7712354312354311
Android-DirectionalViewPager,0,0.0,7,15,3,0.0,1.0,0.9777777777777779,0.0,0.0,0.6666666666666666
robolectric,0,0.0,28,9,0,0.0,0.0,0.0,0.0,0.0,0.0
commons-lang,0,0.0,24,27,8,0.0,1.0,0.9713380791505791,0.0,0.0,0.7229166666666667
Minestom,0,0.0,15,6,0,0.0,0.0,0.0,0.0,0.0,0.0
GreenDroid,0,0.0,1,3,1,0.0,1.0,1.0,0.0,0.0,1.0
mongo-hadoop,0,0.0,2,5,0,0.0,0.0,0.0,0.0,0.0,0.0
J2V8,0,0.0,7,11,2,0.0,1.0,1.0,0.0,0.0,1.0
EasyBehavior,0,0.0,3,2,0,0.0,0.0,0.0,0.0,0.0,0.0
flume,0,0.0,56,70,31,0.0,1.0,0.9730734767025091,0.0,0.0,0.8709677419354839
JavaHamcrest,0,0.0,3,2,0,0.0,0.0,0.0,0.0,0.0,0.0
ldbz-shop,0,0.0,213,136,76,0.0,1.0,0.9860288476961154,0.0,0.0,0.8289473684210527
es,0,0.0,66,80,63,0.0,1.0,0.9931149097815765,0.0,0.0,0.9858201058201058
paho.mqtt.java,0,0.0,16,50,6,0.0,1.0,0.9691358024691358,0.0,0.0,0.8666666666666667
httpclientutil,0,0.0,5,8,5,0.0,1.0,1.0,0.0,0.0,1.0
AdapterDelegates,0,0.0,7,2,0,0.0,0.0,0.0,0.0,0.0,0.0
jcommander,0,0.0,8,3,0,0.0,0.0,0.0,0.0,0.0,0.0
pinduoduo_backdoor_unpacker,0,0.0,1,1,1,0.0,1.0,1.0,0.0,0.0,1.0
PublicCMS,0,0.0,77,149,61,0.0,1.0,0.8754901984006146,0.0,0.0,0.04363778298204528
sqlite-jdbc,0,0.0,23,36,8,0.0,1.0,0.9387916547969416,0.0,0.0,0.7129698426573426
sofa-ark,0,0.0,459,131,62,0.0,1.0,0.8865921964133603,0.0,0.008064516129032258,0.5022964569033118
druid,0,0.0,115,119,83,0.0,1.0,0.9863677134824546,0.0,0.0,0.7342095655348667
