repo_name,repo_name_meta,repo_version,comp_num1,comp_num2,matched_comps,author_score,type_score,purl_score,cpe_score,license_score,version_score
android-parallax-recyclerview,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Mallet,0,0.0,25,5,5,0.0,0.0,0.8403240248302224,0.0,0.2,0.8614102564102565
functionaljava,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
BGABanner-Android,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ZLayoutManager,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
VideoRecorder,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
pinned-section-listview,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
CheckVersionLib,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
remote-desktop-clients,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
CustomerManagement,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
SystemBarTint,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
GalleryFinal,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
system-design-interviews,0,0.0,14,4,4,0.0,0.0,1.0,0.0,0.0,1.0
MaterialDateTimePicker,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
TextPathView,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
GravitySnapHelper,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Android-Terminal-Emulator,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
CustomPopwindow,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
LDrawer,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
QRCodeReaderView,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
gobblin,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
DS-Algo-Point,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
android-zxingLibrary,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
SuperCalendar,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
anvil,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
android-iconify,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
LolliPin,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ToDoList,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
RxJavaApp,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
emojicon,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ModularizationArchitecture,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
EasyRecyclerView,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
TransitionHelper,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
StaggeredGridView,0,0.0,3,9,1,0.0,0.0,1.0,0.0,0.0,1.0
DragPhotoView,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
AsymmetricGridView,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
WaveLoadingView,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
cpbook-code,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
toro,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Gadgetbridge,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Log4a,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
elasticsearch-analysis-pinyin,0,0.0,11,46,10,0.0,0.0,1.0,0.0,0.0,1.0
Andromeda,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
tabula-java,0,0.0,17,18,13,0.0,0.0,1.0,0.0,0.0,1.0
android-gpuimage,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
