repo_name,repo_name_meta,repo_version,comp_num1,comp_num2,matched_comps,author_score,type_score,purl_score,cpe_score,license_score,version_score
android-parallax-recyclerview,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Mallet,0,0.0,25,1,0,0.0,0.0,0.0,0.0,0.0,0.0
functionaljava,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
BGABanner-Android,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
bazel,0,0.0,72,1285,3,0.3333333333333333,1.0,0.4715576820839979,0.0,0.0,0.3333333333333333
ZLayoutManager,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
VideoRecorder,0,0.0,7,0,0,0.0,0.0,0.0,0.0,0.0,0.0
pinned-section-listview,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
CheckVersionLib,0,0.0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0
remote-desktop-clients,0,0.0,13,0,0,0.0,0.0,0.0,0.0,0.0,0.0
CustomerManagement,0,0.0,27,0,0,0.0,0.0,0.0,0.0,0.0,0.0
SystemBarTint,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
GalleryFinal,0,0.0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0
system-design-interviews,0,0.0,14,6,3,0.0,1.0,1.0,0.0,0.0,1.0
MaterialDateTimePicker,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
TextPathView,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
GravitySnapHelper,0,0.0,7,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Android-Terminal-Emulator,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
CustomPopwindow,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
LDrawer,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ysoserial,0,0.0,56,1,0,0.0,0.0,0.0,0.0,0.0,0.0
QRCodeReaderView,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
gobblin,0,0.0,10,1,0,0.0,0.0,0.0,0.0,0.0,0.0
DS-Algo-Point,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
android-zxingLibrary,0,0.0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0
SuperCalendar,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
autopsy,0,0.0,1028,3,2,0.0,1.0,0.3772924938551711,0.0,0.0,0.9362318840579711
anvil,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
android-iconify,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
tomcat-redis-session-manager,0,0.0,10,1,0,0.0,0.0,0.0,0.0,0.0,0.0
LolliPin,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ToDoList,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
