repo_name,repo_name_meta,repo_version,comp_num1,comp_num2,matched_comps,author_score,type_score,purl_score,cpe_score,license_score,version_score
101,0,0.0,27,27,3,0.0,0.3333333333333333,0.9385620915032679,0.0,0.0,1.0
30-Days-Of-Python,0,0.0,6,6,6,0.0,0.8333333333333334,1.0,0.0,0.0,1.0
3D-convolutional-speaker-recognition,0,0.0,7,56,7,0.0,0.2857142857142857,0.7257357338002499,0.0,0.0,0.0
3DDFA_V2,0,0.0,15,15,14,0.0,0.6428571428571429,0.7139138129090473,0.0,0.0,0.0
AdaBound,0,0.0,3,27,2,0.0,1.0,0.746031746031746,0.0,0.0,0.81
AgentBench,0,0.0,51,62,37,0.0,0.8648648648648649,0.8310373302427276,0.0,0.24324324324324326,0.7488416988416988
Agriculture_KnowledgeGraph,0,0.0,7,7,0,0.0,0.0,0.0,0.0,0.0,0.0
AlexaPi,0,0.0,44,32,29,0.0,1.0,0.9145072999214678,0.0,0.0,0.6896551724137931
AntiFraudChatBot,0,0.0,30,111,29,0.0,1.0,0.7387486261351317,0.0,0.0,0.09749625187406297
Archery,0,0.0,59,87,54,0.0,0.6666666666666666,0.9551572813142305,0.0,0.3611111111111111,0.8499999999999999
Ask-Anything,0,0.0,60,59,42,0.0,0.8809523809523809,0.8521134967926045,0.0,0.28869047619047616,0.5469985569985569
Awesome-AutoDL,0,0.0,3,5,3,0.0,0.3333333333333333,0.8470588235294118,0.0,0.0,0.7055555555555556
BERTopic,0,0.0,10,67,10,0.0,0.5,0.7621513475925241,0.0,0.0,0.7195944055944056
BMW-TensorFlow-Training-GUI,0,0.0,1305,1261,1030,0.0,0.9660194174757282,0.9726400068208094,0.0,0.0048543689320388345,0.9310475796452743
Bard-API,0,0.0,9,38,7,0.0,0.8571428571428571,0.7504940743417896,0.0,0.0,0.1074074074074074
BioGPT,0,0.0,33,34,30,0.0,0.8333333333333334,0.9977777777777778,0.0,0.5333333333333333,1.0
Blog_mini,0,0.0,18,6,2,0.0,1.0,1.0,0.0,0.5,1.0
CRNN_Tensorflow,0,0.0,11,10,7,0.0,0.7142857142857143,1.0,0.0,0.35714285714285715,1.0
CTags,0,0.0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0
CUP,0,0.0,6,20,5,0.0,1.0,0.820233389798607,0.0,0.5,0.5129358805445762
