repo_name,repo_name_meta,repo_version,comp_num1,comp_num2,matched_comps,author_score,type_score,purl_score,cpe_score,license_score,version_score
30-Days-Of-Python,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3D-convolutional-speaker-recognition,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3DDFA_V2,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Agriculture_KnowledgeGraph,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
AlexaPi,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Awesome-AutoDL,0,0.0,3,1,1,0.0,0.0,0.7272727272727273,0.0,0.0,0.11666666666666665
BERTopic,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
BioGPT,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
CRNN_Tensorflow,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
CTags,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
CUP,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
CausalDiscoveryToolbox,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
CenterMask,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ChatRWKV,0,0.0,2,15,2,0.0,0.0,0.7537037037037038,0.0,0.0,0.38499999999999995
ChinaDNS-Python,0,0.0,1,1,1,0.0,0.0,0.4666666666666667,0.0,0.0,0.9500000000000001
CustomTkinter,0,0.0,3,3,3,0.0,0.0,0.7900070943549204,0.0,0.0,0.6666666666666666
DALLE-pytorch,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
DeDRM_tools,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Deep-Flow-Guided-Video-Inpainting,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
DeepFaceLab,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
DeepMoji,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Deformable-ConvNets,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
DetectoRS,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Douyin_TikTok_Download_API,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
DrQA,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
EfficientDet,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
