repo_name,repo_name_meta,repo_version,comp_num1,comp_num2,matched_comps,author_score,type_score,purl_score,cpe_score,license_score,version_score
101,0,0.0,27,3,0,0.0,0.0,0.0,0.0,0.0,0.0
30-Days-Of-Python,0,0.0,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3D-convolutional-speaker-recognition,0,0.0,7,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3DDFA_V2,0,0.0,15,1,0,0.0,0.0,0.0,0.0,0.0,0.0
AdaBound,0,0.0,3,1,0,0.0,0.0,0.0,0.0,0.0,0.0
AgentBench,0,0.0,51,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Agriculture_KnowledgeGraph,0,0.0,7,0,0,0.0,0.0,0.0,0.0,0.0,0.0
AlexaPi,0,0.0,44,0,0,0.0,0.0,0.0,0.0,0.0,0.0
AntiFraudChatBot,0,0.0,30,1,0,0.0,0.0,0.0,0.0,0.0,0.0
Archery,0,0.0,59,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Ask-Anything,0,0.0,60,1,0,0.0,0.0,0.0,0.0,0.0,0.0
Awesome-AutoDL,0,0.0,3,1,0,0.0,0.0,0.0,0.0,0.0,0.0
BERTopic,0,0.0,10,1,0,0.0,0.0,0.0,0.0,0.0,0.0
BMW-TensorFlow-Training-GUI,0,0.0,1305,1,0,0.0,0.0,0.0,0.0,0.0,0.0
Bard-API,0,0.0,9,1,0,0.0,0.0,0.0,0.0,0.0,0.0
BioGPT,0,0.0,33,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Blog_mini,0,0.0,18,0,0,0.0,0.0,0.0,0.0,0.0,0.0
CRNN_Tensorflow,0,0.0,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0
CTags,0,0.0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0
CUP,0,0.0,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0
CausalDiscoveryToolbox,0,0.0,20,1,0,0.0,0.0,0.0,0.0,0.0,0.0
CenterMask,0,0.0,9,1,0,0.0,0.0,0.0,0.0,0.0,0.0
ChatGLM3,0,0.0,34,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ChatRWKV,0,0.0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ChinaDNS-Python,0,0.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
CoDeF,0,0.0,14,0,0,0.0,0.0,0.0,0.0,0.0,0.0
CogVideo,0,0.0,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0
CouchPotatoServer,0,0.0,23,1,0,0.0,0.0,0.0,0.0,0.0,0.0
Cream,0,0.0,53,3,0,0.0,0.0,0.0,0.0,0.0,0.0
Cura,0,0.0,84,1,0,0.0,0.0,0.0,0.0,0.0,0.0
CustomTkinter,0,0.0,3,1,0,0.0,0.0,0.0,0.0,0.0,0.0
DALLE-pytorch,0,0.0,18,1,0,0.0,0.0,0.0,0.0,0.0,0.0
DeDRM_tools,0,0.0,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Deep-Flow-Guided-Video-Inpainting,0,0.0,26,0,0,0.0,0.0,0.0,0.0,0.0,0.0
DeepFaceLab,0,0.0,12,0,0,0.0,0.0,0.0,0.0,0.0,0.0
DeepMoji,0,0.0,6,1,0,0.0,0.0,0.0,0.0,0.0,0.0
Deformable-ConvNets,0,0.0,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0
DetectAndTrack,0,0.0,16,1,0,0.0,0.0,0.0,0.0,0.0,0.0
DetectoRS,0,0.0,26,1,0,0.0,0.0,0.0,0.0,0.0,0.0
Douyin_TikTok_Download_API,0,0.0,46,0,0,0.0,0.0,0.0,0.0,0.0,0.0
DrQA,0,0.0,10,1,0,0.0,0.0,0.0,0.0,0.0,0.0
EfficientDet,0,0.0,7,0,0,0.0,0.0,0.0,0.0,0.0,0.0
EfficientDet.Pytorch,0,0.0,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ElectricEye,0,0.0,29,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Emotion-recognition,0,0.0,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Fabrik,0,0.0,43,1,0,0.0,0.0,0.0,0.0,0.0,0.0
