repo_name,repo_name_meta,repo_version,comp_num1,comp_num2,matched_comps,author_score,type_score,purl_score,cpe_score,license_score,version_score
30-Days-Of-Python,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3D-convolutional-speaker-recognition,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3DDFA_V2,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ASFF,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
AdderNet,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
AdvancedEAST,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
AdvancedNewFile,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Agriculture_KnowledgeGraph,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
AlexaPi,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
AlgorithmsByPython,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Arjun,0,0.0,6,7,6,0.0,0.0,1.0,0.0,0.047619047619047616,1.0
Attention-OCR,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Awesome-AutoDL,0,0.0,1,5,1,0.0,0.0,0.875,0.0,1.0,0.9749999999999999
Awesome-CoreML-Models,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Awesome-TensorFlow-Chinese,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
BDFProxy,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
BEGAN-tensorflow,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
BERT-keras,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
BERTopic,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
BertSum,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
BioGPT,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Blasting_dictionary,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Book4_Power-of-Matrix,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
BurpSuite_403Bypasser,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
CRNN_Tensorflow,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
CTR_Prediction,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
CTags,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
