repo_name,repo_name_meta,repo_version,comp_num1,comp_num2,matched_comps,author_score,type_score,purl_score,cpe_score,license_score,version_score
101,0.5248538011695906,0.0,51,27,23,0.0,0.9565217391304348,0.9887278582930756,0.0,0.0,1.0
30-Days-Of-Python,0.45073375262054505,0.0,6,6,6,0.0,0.8333333333333334,1.0,0.0,0.0,1.0
3D-convolutional-speaker-recognition,0.5649452269170578,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3DDFA_V2,0.452020202020202,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ASFF,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
AdaBound,0.452020202020202,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
AdderNet,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
AdvancedEAST,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
AdvancedNewFile,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
AgentBench,0.4518518518518519,0.0,25,62,19,0.0,0.8421052631578947,0.9704887218045114,0.0,0.0,0.9424816171848074
Agriculture_KnowledgeGraph,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
AlexaPi,0.4523809523809524,0.0,66,32,19,0.0,1.0,1.0,0.0,0.0,1.0
AlgorithmsByPython,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
AntiFraudChatBot,0.45098039215686275,0.0,1,111,1,0.0,1.0,1.0,0.0,0.0,1.0
Archery,0.4523809523809524,0.0,53,87,37,0.0,0.6216216216216216,0.9793922293922295,0.0,0.0,1.0
Arjun,0.4527777777777778,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Ask-Anything,0.45153664302600466,0.0,92,59,28,0.0,0.8571428571428571,0.9482610393855898,0.0,0.0,0.8933719851576994
Attention-OCR,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Awesome-AutoDL,0.4512471655328798,0.0,2,5,0,0.0,0.0,0.0,0.0,0.0,0.0
Awesome-CoreML-Models,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Awesome-TensorFlow-Chinese,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
BDFProxy,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
BEGAN-tensorflow,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
BERT-keras,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
BERTopic,0.45219638242894056,0.0,4,67,0,0.0,0.0,0.0,0.0,0.0,0.0
BMW-TensorFlow-Training-GUI,0.5663082437275985,0.0,1046,1261,858,0.0,0.9906759906759907,0.987382641579345,0.0,0.0,0.9796906628724813
Bard-API,0.45219638242894056,0.0,2,38,0,0.0,0.0,0.0,0.0,0.0,0.0
BertSum,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
BioGPT,0.4525745257452574,0.0,34,34,33,0.0,0.8787878787878788,0.9549828958919868,0.0,0.0,1.0
Blasting_dictionary,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Blog_mini,0.452020202020202,0.0,2,6,2,0.0,1.0,1.0,0.0,0.0,1.0
Book4_Power-of-Matrix,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
BurpSuite_403Bypasser,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
CLUEPretrainedModels,0.5676767676767677,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
CRNN_Tensorflow,0.4511111111111111,0.0,11,10,7,0.0,0.7142857142857143,1.0,0.0,0.0,1.0
CTFd,0.4252136752136752,0.0,1070,1036,744,0.0,0.9717741935483871,0.9952070416642703,0.0,0.0,0.9955152329749105
CTR_Prediction,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
CTags,0,0.0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0
CUP,0.5730994152046783,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
CVE-2021-31166,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
CapsGNN,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
CausalDiscoveryToolbox,0.5672514619883041,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
CenterMask,0.4518518518518519,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
CfC,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Char-RNN-TensorFlow,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ChatGLM3,0.45219638242894056,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ChatRWKV,0.45219638242894056,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Chatistics,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ChinaDNS-Python,0.4511111111111111,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Chinese-BERT-wwm,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
