repo_name,files_num1,files_num2,matched_files,pkgs_num1,pkgs_num2,matched_pkgs,doc_name,originator_score_r,supplier_score_r,copyright_score_r,version_score_r,PVC_score_r,cpe_score_r,purl_score_r,dL_score_r,licenseC_score_r,licenseD_score_r,originator_score,supplier_score,copyright_score,version_score,PVC_score,cpe_score,purl_score,dL_score,licenseC_score,licenseD_score,checksum_score
30-Days-Of-Python,0,0,0,2,7,1,0.33928571428571425,0.0,0.0,0,0.325,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3D-convolutional-speaker-recognition,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3DDFA_V2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASFF,0,0,0,2,1,1,0.375,0.0,0.0,0.0,0.3892857142857143,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AdderNet,0,0,0,1,1,1,0.4305555555555555,0.0,0.0,0.0,0.40454545454545454,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AdvancedEAST,0,0,0,1,1,1,0.4664351851851852,0.0,0.0,0.0,0.35000000000000003,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AdvancedNewFile,0,0,0,1,1,1,0.4516325536062378,0.0,0.0,0.0,0.3784391534391534,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agriculture_KnowledgeGraph,0,0,0,1,1,1,0.47209595959595957,0.0,0.0,0.0,0.36695402298850577,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AlexaPi,0,0,0,3,31,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AlgorithmsByPython,0,0,0,1,1,1,0.3371212121212121,0.0,0.0,0,0.3817460317460317,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arjun,40,54,3,19,1,1,0.40740740740740744,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Attention-OCR,0,0,0,1,1,1,0.411764705882353,0.0,0.0,0.0,0.225,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Awesome-AutoDL,4,56,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Awesome-CoreML-Models,0,0,0,1,1,1,0.3829761904761904,0.0,0.0,0.0,0.39365079365079364,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Awesome-TensorFlow-Chinese,0,0,0,1,1,1,0.4597222222222222,0.0,0.0,0,0.2991379310344828,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BDFProxy,0,0,0,1,1,1,0.23611111111111108,0.0,0.0,0.0,0.41060606060606064,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEGAN-tensorflow,0,0,0,1,1,1,0.44226190476190474,0.0,0.0,0,0.41096491228070176,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BERT-keras,0,0,0,1,1,1,0.38095238095238093,0.0,0.0,0.0,0.38589743589743586,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BERTopic,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BertSum,0,0,0,1,1,1,0.44237012987012986,0.0,0.0,0.0,0.34722222222222215,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BioGPT,0,0,0,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blasting_dictionary,0,0,0,1,1,1,0.48079710144927534,0.0,0.0,0,0.36313131313131314,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Book4_Power-of-Matrix,0,0,0,1,1,1,0.3872222222222222,0.0,0.0,0,0.33888888888888885,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BurpSuite_403Bypasser,0,0,0,1,1,1,0.3872222222222222,0.0,0.0,0,0.42777777777777776,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRNN_Tensorflow,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTR_Prediction,0,0,0,1,1,1,0.5009259259259259,0.0,0.0,0,0.33970588235294114,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTags,0,0,0,1,1,1,0.41203703703703703,0.0,0.0,0,0.37222222222222223,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CUP,0,0,0,1,1,1,0.4226190476190476,0.0,0.0,0.0,0.29444444444444445,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CVE-2021-31166,0,0,0,1,1,1,0.3634259259259259,0.0,0.0,0.0,0.33970588235294114,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CapsGNN,0,0,0,1,1,1,0.4053030303030303,0.0,0.0,0.0,0.25,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CausalDiscoveryToolbox,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CenterMask,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
