tool,repo,bomFormat_exist,bomFormat_true_exist,specVersion_exist,specVersion_true_exist,version_exist,version_true_exist,serialNumber_exist,serialNumber_true_exist,timestamp_exist,timestamp_true_exist,tools_exist,tools_true_exist,name_com_exist,name_com_true_exist,version_com,version_com_true_exist,bom_ref_com_exist,bom_ref_com_true_exist,names_exist,names_true_exist,author_exist,author_true_exist,type_exist,type_true_exist,bom_ref_exist,bom_ref_true_exist,purl_exist,purl_true_exist,cpe_exist,cpe_true_exist,licenses_exist,licenses_true_exist,version_exist,version_true_exist,copyright_exist,copyright_true_exist
cdxgen,level-ip,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cdxgen,age,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,42,42,0,0,42,42,42,42,42,42,0,0,0,0,42,42,0,0
cdxgen,xpadneo,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cdxgen,shadowsocksr-native,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,0,0,5,5,5,5,5,5,0,0,0,0,5,5,0,0
cdxgen,way-cooler,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,0,0,7,7,7,7,7,7,0,0,0,0,7,7,0,0
cdxgen,winevdm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0,0,2,2,2,2,2,2,0,0,0,0,2,2,0,0
cdxgen,spdk,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,29,0,0,29,29,29,29,29,29,0,0,0,0,29,29,0,0
cdxgen,LuaJIT,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cdxgen,zmap,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,5,5,0,0,5,5,5,5,5,5,0,0,0,0,5,5,0,0
cdxgen,olive,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cdxgen,gcc,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,15,0,0,15,15,15,15,15,15,0,0,0,0,15,15,0,0
cdxgen,hydra,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,0,0,7,7,7,7,7,7,0,0,0,0,7,7,0,0
cdxgen,wasm-micro-runtime,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,92,91,1,1,92,92,92,92,92,92,0,0,1,1,92,92,0,0
cdxgen,asterisk,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,14,14,0,0,14,14,14,14,14,14,0,0,0,0,14,14,0,0
cdxgen,nginx-http-flv-module,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0
cdxgen,bubblewrap,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,0,0,8,8,8,8,8,8,0,0,0,0,8,8,0,0
cdxgen,rugged,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,0,0,9,9,9,9,9,9,0,0,0,0,9,9,0,0
cdxgen,DungeonRush,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,0,0,9,9,9,9,9,9,0,0,0,0,9,9,0,0
cdxgen,bcc,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,48,48,0,0,48,48,48,48,48,48,0,0,0,0,48,48,0,0
cdxgen,ggml,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,25,8,8,25,25,25,25,25,25,0,0,8,8,25,25,0,0
cdxgen,mjs,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cdxgen,pushdeer,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,685,685,0,0,685,685,685,685,685,685,0,0,113,113,685,685,0,0
cdxgen,reactos,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,16,0,0,16,16,16,16,16,16,0,0,0,0,16,16,0,0
cdxgen,a-shell,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0
cdxgen,libsixel,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cdxgen,ios-twitter-image-pipeline,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,0,0,7,7,7,7,7,7,0,0,0,0,7,7,0,0
cdxgen,IdGenerator,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,43,43,0,0,43,43,43,43,43,43,0,0,0,0,43,43,0,0
cdxgen,jo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0
