tool,repo,Name_exist,Name_true_exist,spdxVersion_exist,spdxVersion_true_exist,dataLicense_exist,dataLicense_true_exist,SPDXID_exist,SPDXID_true_exist,documentNamespace_exist,documentNamespace_true_exist,creators_exist,creators_true_exist,created_exist,created_true_exist,name_exist,name_true_exist,spdxid_exist,spdxid_true_exist,downloadLocation_exist,downloadLocation_true_exist,versionInfo_exist,versionInfo_true_exist,packageVerificationCode_exist,packageVerificationCode_true_exist,originator_exist,originator_true_exist,supplier_exist,supplier_true_exist,licenseConcluded_exist,licenseConcluded_true_exist,licenseDeclared_exist,licenseDeclared_true_exist,copyrightText_exist,copyrightText_true_exist,externalRefs_exist,externalRefs_true_exist,cpe_exist,cpe_true_exist,cpe_pkg_level,purl_exist,purl_true_exist,name_exist,name_true_exist,spdxid_exist,spdxid_true_exist,checksum_exist,checksum_true_exist
gh-sbom,GameNetworkingResources,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
gh-sbom,glb-director,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,27,27,27,27,1,27,27,0,0,0,0,27,0,5,5,0,0,5,5,0,27,0,0,0,27,27,0,0,0,0,0,0
gh-sbom,libfreenect,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,1,5,5,0,0,0,0,5,0,3,3,0,0,2,2,0,5,0,0,0,5,5,0,0,0,0,0,0
gh-sbom,proot,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,1,3,3,0,0,0,0,3,0,0,0,1,1,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0
gh-sbom,ostep-code,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
gh-sbom,atomic-red-team,1,1,1,1,1,1,1,1,1,1,1,1,1,1,42,42,42,42,42,1,42,42,0,0,0,0,42,0,30,30,1,1,30,30,0,42,0,0,0,42,42,0,0,0,0,0,0
gh-sbom,Zygisk-Il2CppDumper,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,1,4,4,0,0,0,0,4,0,0,0,1,1,0,0,0,4,0,0,0,4,4,0,0,0,0,0,0
gh-sbom,mtcp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
gh-sbom,fbtft,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
gh-sbom,litetree,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
