tool,repo,Name_exist,Name_true_exist,spdxVersion_exist,spdxVersion_true_exist,dataLicense_exist,dataLicense_true_exist,SPDXID_exist,SPDXID_true_exist,documentNamespace_exist,documentNamespace_true_exist,creators_exist,creators_true_exist,created_exist,created_true_exist,name_exist,name_true_exist,spdxid_exist,spdxid_true_exist,downloadLocation_exist,downloadLocation_true_exist,versionInfo_exist,versionInfo_true_exist,packageVerificationCode_exist,packageVerificationCode_true_exist,originator_exist,originator_true_exist,supplier_exist,supplier_true_exist,licenseConcluded_exist,licenseConcluded_true_exist,licenseDeclared_exist,licenseDeclared_true_exist,copyrightText_exist,copyrightText_true_exist,externalRefs_exist,externalRefs_true_exist,cpe_exist,cpe_true_exist,cpe_pkg_level,purl_exist,purl_true_exist,name_exist,name_true_exist,spdxid_exist,spdxid_true_exist,checksum_exist,checksum_true_exist
syft,stlink,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,0,5,5,0,0,0,0,6,0,6,0,6,0,5,0,1,5,20,20,5,5,5,2,2,2,2,2,2
syft,open-vm-tools,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
syft,openssl,1,1,1,1,1,1,1,1,1,1,1,1,1,1,37,37,37,37,37,0,36,36,0,0,0,0,37,0,37,0,37,0,36,0,1,36,226,226,36,36,36,16,16,16,16,16,16
syft,gobpf,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,0,2,2,0,0,0,0,3,0,3,0,3,0,2,0,1,2,7,7,2,2,2,1,1,1,1,1,1
syft,libsodium,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,13,13,13,13,0,12,12,0,0,0,0,13,0,13,0,13,0,12,0,1,12,97,97,12,12,12,4,4,4,4,4,4
syft,pelikan,1,1,1,1,1,1,1,1,1,1,1,1,1,1,333,333,333,333,333,0,332,332,0,0,0,0,333,0,333,0,333,0,332,0,1,332,1322,1322,332,328,328,6,6,6,6,6,6
syft,firmware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,150,150,150,150,150,150
syft,Cello,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
syft,libffi,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,12,12,12,12,0,11,11,0,0,0,0,12,0,12,0,12,0,11,0,1,11,63,63,11,11,11,2,2,2,2,2,2
syft,OpenMower,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,10,10,0,9,9,0,0,0,0,10,0,10,0,10,0,9,0,1,9,47,47,9,9,9,1,1,1,1,1,1
syft,phptrace,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
syft,How-to-Make-a-Computer-Operating-System,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,2,2,2,2,2
syft,japronto,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,12,12,12,12,0,11,11,0,0,0,0,12,0,12,0,12,0,11,0,1,11,132,132,11,11,11,8,8,8,8,8,8
syft,RxFFmpeg,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0,0,2,0,2,0,2,0,1,0,1,1,6,6,1,1,1,13,13,13,13,13,13
syft,ldd3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
syft,dynomite,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
syft,mini3d,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
syft,arcore-android-sdk,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,21,21,21,21,0,20,20,0,0,0,0,21,0,21,0,21,0,20,0,1,20,120,120,20,20,20,23,23,23,23,23,23
syft,espeak-ng,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,16,16,16,16,0,15,15,0,0,0,0,16,0,16,0,16,0,15,0,1,15,54,54,15,15,15,8,8,8,8,8,8
syft,openwrt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,15,15,15,15,0,14,14,0,0,0,0,15,0,15,0,15,0,14,0,1,14,129,129,14,14,14,14,14,14,14,14,14
syft,flipperzero-firmware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,18,18,18,18,0,17,17,0,0,0,0,18,0,18,0,18,0,17,0,1,17,106,106,17,16,16,8,8,8,8,8,8
syft,word2vec,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,0,3,3,0,0,0,0,4,0,4,0,4,0,3,0,1,3,13,13,3,3,3,3,3,3,3,3,3
syft,freeradius-server,1,1,1,1,1,1,1,1,1,1,1,1,1,1,61,61,61,61,61,0,60,60,0,0,0,0,61,0,61,0,61,0,60,0,1,60,353,353,60,49,49,16,16,16,16,16,16
syft,Mirai-Source-Code,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,17,17,17,17,17,17
syft,Yolo-Fastest,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,0,4,4,0,0,4,4,5,4,5,0,5,0,4,0,1,4,4,4,4,4,4,4,4,4,4,4,4
syft,tinyusb,1,1,1,1,1,1,1,1,1,1,1,1,1,1,35,35,35,35,35,0,34,34,0,0,0,0,35,0,35,0,35,0,34,0,1,34,189,189,34,34,34,13,13,13,13,13,13
syft,lmdb,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
syft,esp-iot-solution,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,0,8,8,0,0,0,0,9,0,9,0,9,0,8,0,1,8,126,126,8,8,8,6,6,6,6,6,6
syft,TrustKit,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0,0,2,0,2,0,2,0,1,0,1,1,1,1,1,1,1,4,4,4,4,4,4
syft,sniproxy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
syft,openrazer,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,0,2,2,0,0,0,0,3,0,3,0,3,0,2,0,1,2,33,33,2,2,2,2,2,2,2,2,2
syft,PainterEngine,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
