tool,repo,bomFormat_exist,bomFormat_true_exist,specVersion_exist,specVersion_true_exist,version_exist,version_true_exist,serialNumber_exist,serialNumber_true_exist,timestamp_exist,timestamp_true_exist,tools_exist,tools_true_exist,name_com_exist,name_com_true_exist,version_com,version_com_true_exist,bom_ref_com_exist,bom_ref_com_true_exist,names_exist,names_true_exist,author_exist,author_true_exist,type_exist,type_true_exist,bom_ref_exist,bom_ref_true_exist,purl_exist,purl_true_exist,cpe_exist,cpe_true_exist,licenses_exist,licenses_true_exist,version_exist,version_true_exist,copyright_exist,copyright_true_exist
gh-sbom,system-design-interviews,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,22,22,0,0,22,22,0,0,22,22,0,0,11,11,22,22,0,0
gh-sbom,Android-DirectionalViewPager,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,15,15,0,0,15,15,0,0,15,15,0,0,7,7,15,15,0,0
gh-sbom,DragonProxy,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,47,47,0,0,47,47,0,0,47,47,0,0,26,26,47,47,0,0
gh-sbom,telescope,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,5,5,0,0,5,5,0,0,5,5,0,0,0,0,5,5,0,0
gh-sbom,hackernews-App-powered-by-Apache-Weex,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,14,14,0,0,14,14,0,0,14,14,0,0,14,14,14,14,0,0
gh-sbom,connectivity-samples,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0
gh-sbom,keywhiz,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,144,144,0,0,144,144,0,0,144,144,0,0,77,77,144,144,0,0
gh-sbom,SpringBootBucket,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,65,65,0,0,65,65,0,0,65,65,0,0,46,46,65,65,0,0
gh-sbom,truth,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,43,43,0,0,43,43,0,0,43,43,0,0,14,14,43,43,0,0
gh-sbom,GSYVideoPlayer,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,4,4,0,0,4,4,0,0,4,4,0,0,0,0,4,4,0,0
