tool,repo,Name_exist,Name_true_exist,spdxVersion_exist,spdxVersion_true_exist,dataLicense_exist,dataLicense_true_exist,SPDXID_exist,SPDXID_true_exist,documentNamespace_exist,documentNamespace_true_exist,creators_exist,creators_true_exist,created_exist,created_true_exist,name_exist,name_true_exist,spdxid_exist,spdxid_true_exist,downloadLocation_exist,downloadLocation_true_exist,versionInfo_exist,versionInfo_true_exist,packageVerificationCode_exist,packageVerificationCode_true_exist,originator_exist,originator_true_exist,supplier_exist,supplier_true_exist,licenseConcluded_exist,licenseConcluded_true_exist,licenseDeclared_exist,licenseDeclared_true_exist,copyrightText_exist,copyrightText_true_exist,externalRefs_exist,externalRefs_true_exist,cpe_exist,cpe_true_exist,cpe_pkg_level,purl_exist,purl_true_exist,name_exist,name_true_exist,spdxid_exist,spdxid_true_exist,checksum_exist,checksum_true_exist
gh-sbom,TarsosDSP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,1,5,5,0,0,0,0,5,0,0,0,1,1,0,0,0,5,0,0,0,5,5,0,0,0,0,0,0
gh-sbom,jsonschema2pojo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,100,100,100,100,1,100,100,0,0,0,0,100,0,45,45,1,1,23,23,0,100,0,0,0,100,100,0,0,0,0,0,0
gh-sbom,eventuate-tram-core,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
gh-sbom,Colorful,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
gh-sbom,FanLayoutManager,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
gh-sbom,Houseclub,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,1,3,3,0,0,0,0,3,0,0,0,1,1,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0
gh-sbom,nutz,1,1,1,1,1,1,1,1,1,1,1,1,1,1,40,40,40,40,40,1,40,40,0,0,0,0,40,0,34,34,1,1,20,20,0,40,0,0,0,40,40,0,0,0,0,0,0
gh-sbom,HTTPDNSLib,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,1,3,3,0,0,0,0,3,0,1,1,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0
gh-sbom,SectionedRecyclerViewAdapter,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
gh-sbom,FloatingView,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
gh-sbom,Android-Clean-Boilerplate,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
gh-sbom,MVCHelper,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
gh-sbom,SpringBlog,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
gh-sbom,JazzyViewPager,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
