tool,repo,Name_exist,Name_true_exist,spdxVersion_exist,spdxVersion_true_exist,dataLicense_exist,dataLicense_true_exist,SPDXID_exist,SPDXID_true_exist,documentNamespace_exist,documentNamespace_true_exist,creators_exist,creators_true_exist,created_exist,created_true_exist,name_exist,name_true_exist,spdxid_exist,spdxid_true_exist,downloadLocation_exist,downloadLocation_true_exist,versionInfo_exist,versionInfo_true_exist,packageVerificationCode_exist,packageVerificationCode_true_exist,originator_exist,originator_true_exist,supplier_exist,supplier_true_exist,licenseConcluded_exist,licenseConcluded_true_exist,licenseDeclared_exist,licenseDeclared_true_exist,copyrightText_exist,copyrightText_true_exist,externalRefs_exist,externalRefs_true_exist,cpe_exist,cpe_true_exist,cpe_pkg_level,purl_exist,purl_true_exist,name_exist,name_true_exist,spdxid_exist,spdxid_true_exist,checksum_exist,checksum_true_exist
ort,legend,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,0,1,1,0,0,0,0,0,0,4,0,4,0,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0
ort,ExpandingPager,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0
ort,XRefreshView,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,0,0,0,0,0,0,0,0,0,3,0,3,0,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0
ort,DownloadProgressBar,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,0,0,0,0,0,0,0,0,0,3,0,3,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0
ort,AndroidStaggeredGrid,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,0,0,0,0,0,0,0,0,0,3,0,3,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0
ort,DaggerMock,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,0,0,0,0,0,0,0,0,0,9,0,9,0,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0
ort,settingscompat,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,0,0,0,0,0,0,0,0,0,3,0,3,0,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0
ort,FakeSMTP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,40,40,40,40,40,39,40,40,14,14,0,0,0,0,40,0,40,39,40,30,1,39,0,0,0,39,39,2140,2140,2140,2140,2140,2140
ort,OBAndroid,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31,31,31,31,31,23,24,24,8,8,0,0,0,0,31,0,31,21,31,24,8,23,0,0,0,23,23,3102,3102,3102,3102,3102,3102
ort,GSYRecordWave,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0
ort,android-titlebar,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,0,0,0,0,0,0,0,0,0,3,0,3,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0
ort,kafdrop,1,1,1,1,1,1,1,1,1,1,1,1,1,1,450,450,450,450,450,449,450,450,141,141,0,0,0,0,450,0,450,450,450,387,1,449,0,0,0,449,449,297839,297839,297839,297839,297839,297839
ort,TextSurface,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0
ort,limbo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,0,0,0,0,0,0,0,0,0,6,0,6,0,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0
ort,AndroidTagGroup,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,0,0,0,0,0,0,0,0,0,3,0,3,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0
ort,AndroidExpandingViewLibrary,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,0,0,0,0,0,0,0,0,0,3,0,3,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0
ort,MaterialChipsInput,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,0,0,0,0,0,0,0,0,0,3,0,3,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0
ort,open_nsfw_android,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0
ort,BGABanner-Android,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,0,0,0,0,0,0,0,0,0,3,0,3,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0
ort,BlurEffectForAndroidDesign,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ort,Xpatch,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,0,0,0,0,0,0,0,0,0,3,0,3,0,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0
ort,MPermissions,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0
ort,vector-compat,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,0,0,0,0,0,0,0,0,0,3,0,3,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0
ort,brigadier,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ort,AnyLayer,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,0,0,0,0,0,0,0,0,0,7,0,7,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0
ort,xabber-android,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,0,0,0,0,0,0,0,0,0,3,0,3,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0
ort,LiveEventBus,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,15,15,15,15,0,1,1,0,0,0,0,0,0,15,0,15,0,15,3,15,0,0,0,0,0,0,0,0,0,0,0,0
ort,uCrop,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,0,0,0,0,0,0,0,0,0,3,0,3,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0
ort,physical-web,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,0,1,1,0,0,0,0,0,0,4,0,4,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0
ort,rapidoid,1,1,1,1,1,1,1,1,1,1,1,1,1,1,153,153,153,153,153,146,153,153,49,49,0,0,0,0,153,0,153,145,153,109,6,147,0,0,0,147,147,20466,20466,20466,20466,20466,20466
ort,android-circlebutton,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0
ort,storm-starter,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ort,bubbles-for-android,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,0,0,0,0,0,0,0,0,0,3,0,3,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0
ort,android-interview-guide,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
ort,Shield,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,0,0,0,0,0,0,0,0,0,3,0,3,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0
ort,StyleImageView,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,0,0,0,0,0,0,0,0,0,4,0,4,0,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0
ort,mkloader,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,0,0,0,0,0,0,0,0,0,3,0,3,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0
ort,Just-Another-Android-App,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,0,0,0,0,0,0,0,0,0,5,0,5,0,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0
ort,MagicIndicator,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,0,0,0,0,0,0,0,0,0,3,0,3,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0
ort,Ninja,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ort,WSLiveDemo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,0,0,0,0,0,0,0,0,0,3,0,3,0,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0
ort,spring-cloud-netflix,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,8,8,8,0,0,0,0,0,0,0,0,0,8,0,8,0,8,4,8,0,0,0,0,0,0,0,0,0,0,0,0
ort,android-samples,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,29,29,29,29,0,1,1,0,0,0,0,0,0,29,0,29,0,29,29,29,0,0,0,0,0,0,0,0,0,0,0,0
ort,modelmapper,1,1,1,1,1,1,1,1,1,1,1,1,1,1,211,211,211,211,211,198,210,210,66,66,0,0,0,0,211,0,211,209,211,170,12,199,0,0,0,199,199,51345,51345,51345,51345,51345,51345
ort,material-intro-screen,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,0,0,0,0,0,0,0,0,0,3,0,3,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0
ort,jjwt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,72,72,72,72,72,69,72,72,23,23,0,0,0,0,72,0,72,72,72,54,3,69,0,0,0,69,69,10586,10586,10586,10586,10586,10586
ort,device-year-class,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,0,0,0,0,0,0,0,0,0,3,0,3,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0
ort,AppUpdater,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,0,0,0,0,0,0,0,0,0,3,0,3,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0
ort,SpringView,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,10,10,0,0,0,0,0,0,0,0,0,10,0,10,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0
ort,StarWars,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,0,0,0,0,0,0,0,0,0,3,0,3,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0
ort,MaterialAbout,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,0,0,0,0,0,0,0,0,0,3,0,3,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0
ort,archi,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0
ort,ASimpleCache,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ort,InDoorSurfaceView,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,0,0,0,0,0,0,0,0,0,3,0,3,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0
ort,eclim,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,8,8,8,6,8,8,2,2,0,0,0,0,8,0,8,6,8,3,2,6,0,0,0,6,6,22,22,22,22,22,22
ort,Slide,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
ort,MaterialDesignDemo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
ort,twoway-view,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,0,0,0,0,0,0,0,0,0,4,0,4,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0
ort,java-core-learning-example,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,13,13,13,13,12,13,13,4,4,0,0,0,0,13,0,13,12,13,10,1,12,0,0,0,12,12,532,532,532,532,532,532
ort,Launcher3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ort,FlatLaf,1,1,1,1,1,1,1,1,1,1,1,1,1,1,81,81,81,81,81,63,63,63,21,21,0,0,0,0,81,0,81,63,81,81,18,63,0,0,0,63,63,280196,280196,280196,280196,280196,280196
ort,VCameraDemo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0,0,0,0,2,0,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
ort,hope-boot,1,1,1,1,1,1,1,1,1,1,1,1,1,1,482,482,482,482,482,475,482,482,148,148,0,0,0,0,482,0,482,472,482,373,6,476,0,0,0,476,476,181373,181373,181373,181373,181373,181373
ort,diycode,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,0,0,0,0,0,0,0,0,0,5,0,5,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0
ort,Android-CircleMenu,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ort,chatgpt-java,1,1,1,1,1,1,1,1,1,1,1,1,1,1,61,61,61,61,61,60,61,61,20,20,0,0,0,0,61,0,61,58,61,45,1,60,0,0,0,60,60,3491,3491,3491,3491,3491,3491
ort,android-weak-handler,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ort,Android-MaterialRefreshLayout,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,0,0,0,0,0,0,0,0,0,3,0,3,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0
ort,sonarqube-community-branch-plugin,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ort,simple-java-mail,1,1,1,1,1,1,1,1,1,1,1,1,1,1,244,244,244,244,244,241,244,244,81,81,0,0,0,0,244,0,244,241,244,217,3,241,0,0,0,241,241,105122,105122,105122,105122,105122,105122
ort,jOOR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,10,10,6,10,10,2,2,0,0,0,0,10,0,10,9,10,7,4,6,0,0,0,6,6,22,22,22,22,22,22
ort,android-percent-support-extend,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,0,0,0,0,0,0,0,0,0,4,0,4,0,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0
