tool,repo,Name_exist,Name_true_exist,spdxVersion_exist,spdxVersion_true_exist,dataLicense_exist,dataLicense_true_exist,SPDXID_exist,SPDXID_true_exist,documentNamespace_exist,documentNamespace_true_exist,creators_exist,creators_true_exist,created_exist,created_true_exist,name_exist,name_true_exist,spdxid_exist,spdxid_true_exist,downloadLocation_exist,downloadLocation_true_exist,versionInfo_exist,versionInfo_true_exist,packageVerificationCode_exist,packageVerificationCode_true_exist,originator_exist,originator_true_exist,supplier_exist,supplier_true_exist,licenseConcluded_exist,licenseConcluded_true_exist,licenseDeclared_exist,licenseDeclared_true_exist,copyrightText_exist,copyrightText_true_exist,externalRefs_exist,externalRefs_true_exist,cpe_exist,cpe_true_exist,cpe_pkg_level,purl_exist,purl_true_exist,name_exist,name_true_exist,spdxid_exist,spdxid_true_exist,checksum_exist,checksum_true_exist
syft,AutoInstaller,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0,0,2,0,2,0,2,0,1,0,1,1,6,6,1,1,1,1,1,1,1,1,1
syft,InDoorSurfaceView,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0,0,2,0,2,0,2,0,1,0,1,1,6,6,1,1,1,1,1,1,1,1,1
syft,smoothie,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0,0,2,0,2,0,2,0,1,0,1,1,6,6,1,1,1,1,1,1,1,1,1
syft,LQRWeChat,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,29,29,29,29,0,28,28,0,0,1,1,29,1,29,1,29,1,28,0,1,28,180,180,28,28,28,37,37,37,37,37,37
syft,XobotOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,10,10,0,9,9,0,0,0,0,10,0,10,0,10,0,9,0,1,9,16,16,9,9,9,13,13,13,13,13,13
syft,Parallax-Layer-Layout,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0,0,2,0,2,0,2,0,1,0,1,1,6,6,1,1,1,1,1,1,1,1,1
syft,Shield,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0,0,2,0,2,0,2,0,1,0,1,1,6,6,1,1,1,1,1,1,1,1,1
syft,MaterialAbout,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0,0,2,0,2,0,2,0,1,0,1,1,6,6,1,1,1,1,1,1,1,1,1
syft,Caldroid,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0,0,2,0,2,0,2,0,1,0,1,1,6,6,1,1,1,1,1,1,1,1,1
syft,AndroidSocialNetworks,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,0,6,6,0,0,0,0,7,0,7,0,7,0,6,0,1,6,39,39,6,6,6,6,6,6,6,6,6
syft,wvp-GB28181-pro,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1067,1067,1067,1067,1067,1012,1066,1066,0,0,4,4,1067,4,1067,0,1067,4,1066,0,1,1066,6354,6354,1065,1066,1066,6,6,6,6,6,6
syft,mkloader,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0,0,2,0,2,0,2,0,1,0,1,1,6,6,1,1,1,1,1,1,1,1,1
syft,AndroidChangeSkin,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,0,3,3,0,0,0,0,4,0,4,0,4,0,3,0,1,3,10,10,3,3,3,2,2,2,2,2,2
syft,protostuff,1,1,1,1,1,1,1,1,1,1,1,1,1,1,83,83,83,83,83,0,82,82,0,0,0,0,83,0,83,0,83,49,82,0,1,82,589,589,82,82,82,18,18,18,18,18,18
syft,dynmap,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2343,2343,2343,2343,2343,0,2342,2342,0,0,0,0,2343,0,2343,33,2343,0,2342,0,1,2342,40379,40379,2342,2342,2342,1971,1971,1971,1971,1971,1971
syft,rapidoid,1,1,1,1,1,1,1,1,1,1,1,1,1,1,62,62,62,62,62,0,61,61,0,0,0,0,62,0,62,0,62,18,61,0,1,61,662,662,61,61,61,11,11,11,11,11,11
syft,ambari,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3509,3509,3509,3509,3509,0,3508,3508,0,0,0,0,3509,0,3509,3,3509,11,3508,0,1,3508,18027,18027,3507,3508,3508,47,47,47,47,47,47
syft,CameraView,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,12,12,12,12,0,11,11,0,0,0,0,12,0,12,0,12,0,11,0,1,11,55,55,11,11,11,4,4,4,4,4,4
syft,MaterialTextField,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0,0,2,0,2,0,2,0,1,0,1,1,6,6,1,1,1,1,1,1,1,1,1
syft,ToDoList,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0,0,2,0,2,0,2,0,1,0,1,1,6,6,1,1,1,1,1,1,1,1,1
syft,GravitySnapHelper,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,8,8,8,0,7,7,0,0,0,0,8,0,8,0,8,0,7,0,1,7,40,40,7,7,7,3,3,3,3,3,3
syft,SSM_HRMS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,41,41,41,41,41,0,40,40,0,0,10,10,41,10,41,12,41,8,40,0,1,40,453,453,40,40,40,23,23,23,23,23,23
syft,UETool,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0,0,2,0,2,0,2,0,1,0,1,1,6,6,1,1,1,1,1,1,1,1,1
syft,faboptions,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0,0,2,0,2,0,2,0,1,0,1,1,6,6,1,1,1,1,1,1,1,1,1
syft,react-native-camera,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
syft,VideoRecorder,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,8,8,8,0,7,7,0,0,4,4,8,4,8,0,8,4,7,0,1,7,68,68,7,7,7,25,25,25,25,25,25
syft,HotFix,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,0,3,3,0,0,0,0,4,0,4,0,4,0,3,0,1,3,18,18,3,3,3,3,3,3,3,3,3
syft,WheelView,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0,0,2,0,2,0,2,0,1,0,1,1,6,6,1,1,1,1,1,1,1,1,1
syft,metrics,1,1,1,1,1,1,1,1,1,1,1,1,1,1,306,306,306,306,306,0,305,305,0,0,0,0,306,0,306,0,306,56,305,0,1,305,3036,3036,305,305,305,41,41,41,41,41,41
syft,AnimeTaste,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,22,22,22,22,0,21,21,0,0,3,3,22,3,22,3,22,0,21,0,1,21,120,120,21,21,21,22,22,22,22,22,22
syft,pinduoduo_backdoor_unpacker,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0,0,2,0,2,0,2,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
syft,Android-SerialPort-API,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0,0,2,0,2,0,2,0,1,0,1,1,6,6,1,1,1,1,1,1,1,1,1
syft,AndroidFillableLoaders,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0,0,2,0,2,0,2,0,1,0,1,1,6,6,1,1,1,1,1,1,1,1,1
syft,codelibrary,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,0,4,4,0,0,0,0,5,0,5,0,5,0,4,0,1,4,9,9,4,4,4,3,3,3,3,3,3
syft,materialish-progress,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0,0,2,0,2,0,2,0,1,0,1,1,6,6,1,1,1,1,1,1,1,1,1
syft,react-native-image-picker,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1914,1914,1914,1914,1914,0,1913,1913,0,0,0,0,1914,0,1914,0,1914,0,1913,0,1,1913,11335,11335,1913,1913,1913,6,6,6,6,6,6
syft,MaterialDateTimePicker,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0,0,2,0,2,0,2,0,1,0,1,1,6,6,1,1,1,1,1,1,1,1,1
syft,HorizontalWheelView,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0,0,2,0,2,0,2,0,1,0,1,1,6,6,1,1,1,1,1,1,1,1,1
syft,JazzyViewPager,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,0,3,3,0,0,0,0,4,0,4,0,4,0,3,0,1,3,14,14,3,3,3,2,2,2,2,2,2
syft,android-shapeLoadingView,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0,0,2,0,2,0,2,0,1,0,1,1,6,6,1,1,1,1,1,1,1,1,1
syft,springmvc-mybatis-learning,1,1,1,1,1,1,1,1,1,1,1,1,1,1,76,76,76,76,76,0,75,75,0,0,25,25,76,25,76,22,76,16,75,0,1,75,677,677,75,75,75,57,57,57,57,57,57
syft,Fancybuttons,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0,0,2,0,2,0,2,0,1,0,1,1,6,6,1,1,1,1,1,1,1,1,1
syft,Movie_Recommend,1,1,1,1,1,1,1,1,1,1,1,1,1,1,80,80,80,80,80,0,79,79,0,0,0,0,80,0,80,0,80,0,79,0,1,79,601,601,79,79,79,3,3,3,3,3,3
