tool,repo,bomFormat_exist,bomFormat_true_exist,specVersion_exist,specVersion_true_exist,version_exist,version_true_exist,serialNumber_exist,serialNumber_true_exist,timestamp_exist,timestamp_true_exist,tools_exist,tools_true_exist,name_com_exist,name_com_true_exist,version_com,version_com_true_exist,bom_ref_com_exist,bom_ref_com_true_exist,names_exist,names_true_exist,author_exist,author_true_exist,type_exist,type_true_exist,bom_ref_exist,bom_ref_true_exist,purl_exist,purl_true_exist,cpe_exist,cpe_true_exist,licenses_exist,licenses_true_exist,version_exist,version_true_exist,copyright_exist,copyright_true_exist
cdxgen,zzzzz,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,1,1,6,6,6,6,6,6,0,0,6,6,6,6,0,0
cdxgen,DeepDreamVideo,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cdxgen,O2O-Coupon-Usage-Forecast,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cdxgen,recurrentshop,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,38,38,0,0,38,38,38,38,38,38,0,0,0,0,38,38,0,0
cdxgen,cifar-10-cnn,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cdxgen,chronology,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,18,3,3,18,18,18,18,18,18,0,0,3,3,18,18,0,0
cdxgen,plop,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,2,2,6,6,6,6,6,6,0,0,2,2,6,6,0,0
cdxgen,gordon,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,30,0,0,30,30,30,30,30,30,0,0,0,0,30,30,0,0
cdxgen,DeepLearningFlappyBird,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cdxgen,wechat_jump_game,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,15,12,12,15,15,15,15,15,15,0,0,15,15,15,15,0,0
cdxgen,hydra,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1139,1139,0,0,1139,1139,1139,1139,1139,1139,0,0,0,0,1139,1139,0,0
cdxgen,tutorials,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cdxgen,mhn,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,25,19,19,25,25,25,25,25,25,0,0,23,23,25,25,0,0
