tool,repo,bomFormat_exist,bomFormat_true_exist,specVersion_exist,specVersion_true_exist,version_exist,version_true_exist,serialNumber_exist,serialNumber_true_exist,timestamp_exist,timestamp_true_exist,tools_exist,tools_true_exist,name_com_exist,name_com_true_exist,version_com,version_com_true_exist,bom_ref_com_exist,bom_ref_com_true_exist,names_exist,names_true_exist,author_exist,author_true_exist,type_exist,type_true_exist,bom_ref_exist,bom_ref_true_exist,purl_exist,purl_true_exist,cpe_exist,cpe_true_exist,licenses_exist,licenses_true_exist,version_exist,version_true_exist,copyright_exist,copyright_true_exist
gh-sbom,kinto,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,51,51,0,0,51,51,0,0,51,51,0,0,41,41,51,51,0,0
gh-sbom,pyres,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,4,4,0,0,4,4,0,0,4,4,0,0,2,2,4,4,0,0
gh-sbom,slither,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,29,29,0,0,29,29,0,0,29,29,0,0,0,0,29,29,0,0
gh-sbom,kubediff,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,39,39,0,0,39,39,0,0,39,39,0,0,21,21,39,39,0,0
gh-sbom,python-sdk,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,137,137,0,0,137,137,0,0,137,137,0,0,120,120,137,137,0,0
gh-sbom,kopf,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,24,24,0,0,24,24,0,0,24,24,0,0,2,2,24,24,0,0
gh-sbom,parliament-scraper,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,12,12,0,0,12,12,0,0,12,12,0,0,9,9,12,12,0,0
gh-sbom,SinGAN,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,7,7,0,0,7,7,0,0,7,7,0,0,0,0,7,7,0,0
gh-sbom,ad_examples,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,10,10,0,0,10,10,0,0,10,10,0,0,1,1,10,10,0,0
gh-sbom,ldap3,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,8,8,0,0,8,8,0,0,8,8,0,0,0,0,8,8,0,0
gh-sbom,satpy,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,22,22,0,0,22,22,0,0,22,22,0,0,0,0,22,22,0,0
gh-sbom,pybacktest,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,4,4,0,0,4,4,0,0,4,4,0,0,0,0,4,4,0,0
gh-sbom,six,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0
gh-sbom,Text2LIVE,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,15,15,0,0,15,15,0,0,15,15,0,0,0,0,15,15,0,0
gh-sbom,web_develop,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,6,6,0,0,6,6,0,0,6,6,0,0,5,5,6,6,0,0
gh-sbom,GassistPi,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,64,64,0,0,64,64,0,0,64,64,0,0,12,12,64,64,0,0
gh-sbom,webpy,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,11,11,0,0,11,11,0,0,11,11,0,0,0,0,11,11,0,0
gh-sbom,person-blocker,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,7,7,0,0,7,7,0,0,7,7,0,0,0,0,7,7,0,0
gh-sbom,xarray-spatial,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,17,17,0,0,17,17,0,0,17,17,0,0,0,0,17,17,0,0
gh-sbom,adb-enhanced,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,13,13,0,0,13,13,0,0,13,13,0,0,0,0,13,13,0,0
gh-sbom,mooder,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,13,13,0,0,13,13,0,0,13,13,0,0,0,0,13,13,0,0
gh-sbom,gsutil,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,15,15,0,0,15,15,0,0,15,15,0,0,1,1,15,15,0,0
gh-sbom,pix2pix-tensorflow,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,4,4,0,0,4,4,0,0,4,4,0,0,0,0,4,4,0,0
gh-sbom,torchgan,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,8,8,0,0,8,8,0,0,8,8,0,0,0,0,8,8,0,0
gh-sbom,DetectoRS,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,26,26,0,0,26,26,0,0,26,26,0,0,0,0,26,26,0,0
gh-sbom,mmsegmentation,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,48,48,0,0,48,48,0,0,48,48,0,0,10,10,48,48,0,0
gh-sbom,hacktoberfest-swag-list,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,50,50,0,0,50,50,0,0,50,50,0,0,43,43,50,50,0,0
gh-sbom,data-science-from-scratch,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,10,10,0,0,10,10,0,0,10,10,0,0,0,0,10,10,0,0
gh-sbom,meshrcnn,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,4,4,0,0,4,4,0,0,4,4,0,0,0,0,4,4,0,0
gh-sbom,weibo_terminater,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,26,26,0,0,26,26,0,0,26,26,0,0,13,13,26,26,0,0
gh-sbom,django-vanilla-views,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,5,5,0,0,5,5,0,0,5,5,0,0,1,1,5,5,0,0
gh-sbom,gdom,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,5,5,0,0,5,5,0,0,5,5,0,0,5,5,5,5,0,0
gh-sbom,erpnext,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,24,24,0,0,24,24,0,0,24,24,0,0,0,0,24,24,0,0
gh-sbom,flocker,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,140,140,0,0,140,140,0,0,140,140,0,0,131,131,140,140,0,0
gh-sbom,ChatGLM3,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,34,34,0,0,34,34,0,0,34,34,0,0,0,0,34,34,0,0
gh-sbom,dpxdt,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,55,55,0,0,55,55,0,0,55,55,0,0,35,35,55,55,0,0
gh-sbom,the-gan-zoo,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,25,25,0,0,25,25,0,0,25,25,0,0,25,25,25,25,0,0
gh-sbom,silero-vad,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,6,6,0,0,6,6,0,0,6,6,0,0,4,4,6,6,0,0
gh-sbom,noto-emoji,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,6,6,0,0,6,6,0,0,6,6,0,0,0,0,6,6,0,0
gh-sbom,WALKOFF,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1341,1341,0,0,1341,1341,0,0,1341,1341,0,0,1279,1279,1341,1341,0,0
gh-sbom,hubcommander,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,7,7,0,0,7,7,0,0,7,7,0,0,2,2,7,7,0,0
gh-sbom,deap,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0
gh-sbom,amon,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,32,32,0,0,32,32,0,0,32,32,0,0,31,31,32,32,0,0
gh-sbom,spinningup,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,16,16,0,0,16,16,0,0,16,16,0,0,4,4,16,16,0,0
gh-sbom,dockerizing-django,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,4,4,0,0,4,4,0,0,4,4,0,0,4,4,4,4,0,0
gh-sbom,flask-oauthlib,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,13,13,0,0,13,13,0,0,13,13,0,0,6,6,13,13,0,0
gh-sbom,gordon,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,22,22,0,0,22,22,0,0,22,22,0,0,4,4,22,22,0,0
gh-sbom,chatblade,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,22,22,0,0,22,22,0,0,22,22,0,0,0,0,22,22,0,0
gh-sbom,BioGPT,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,33,33,0,0,33,33,0,0,33,33,0,0,29,29,33,33,0,0
gh-sbom,everpad,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,12,12,0,0,12,12,0,0,12,12,0,0,1,1,12,12,0,0
gh-sbom,crackq,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,28,28,0,0,28,28,0,0,28,28,0,0,19,19,28,28,0,0
gh-sbom,dongbei,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,4,4,0,0,4,4,0,0,4,4,0,0,0,0,4,4,0,0
gh-sbom,Sooty,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,26,26,0,0,26,26,0,0,26,26,0,0,19,19,26,26,0,0
gh-sbom,wechat-python-sdk,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,6,6,0,0,6,6,0,0,6,6,0,0,4,4,6,6,0,0
gh-sbom,Varken,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,12,12,0,0,12,12,0,0,12,12,0,0,5,5,12,12,0,0
gh-sbom,geoplot,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,7,7,0,0,7,7,0,0,7,7,0,0,0,0,7,7,0,0
gh-sbom,pororo,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,17,17,0,0,17,17,0,0,17,17,0,0,2,2,17,17,0,0
