tool,repo,Name_exist,Name_true_exist,spdxVersion_exist,spdxVersion_true_exist,dataLicense_exist,dataLicense_true_exist,SPDXID_exist,SPDXID_true_exist,documentNamespace_exist,documentNamespace_true_exist,creators_exist,creators_true_exist,created_exist,created_true_exist,name_exist,name_true_exist,spdxid_exist,spdxid_true_exist,downloadLocation_exist,downloadLocation_true_exist,versionInfo_exist,versionInfo_true_exist,packageVerificationCode_exist,packageVerificationCode_true_exist,originator_exist,originator_true_exist,supplier_exist,supplier_true_exist,licenseConcluded_exist,licenseConcluded_true_exist,licenseDeclared_exist,licenseDeclared_true_exist,copyrightText_exist,copyrightText_true_exist,externalRefs_exist,externalRefs_true_exist,cpe_exist,cpe_true_exist,cpe_pkg_level,purl_exist,purl_true_exist,name_exist,name_true_exist,spdxid_exist,spdxid_true_exist,checksum_exist,checksum_true_exist
sbom-tool,sublimetext-codeformatter,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1,1,152,152,152,152,152,152
sbom-tool,python-elevator-challenge,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1,1,30,30,30,30,30,30
sbom-tool,Blog_mini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,0,3,3,1,1,0,0,3,1,3,1,3,0,3,0,0,3,0,0,0,3,3,211,211,211,211,211,211
sbom-tool,ESRGAN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1,1,55,55,55,55,55,55
sbom-tool,rq-dashboard,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,19,19,19,19,0,19,19,1,1,0,0,19,1,19,16,19,0,19,0,0,19,0,0,0,19,19,88,88,88,88,88,88
sbom-tool,Awesome-TensorFlow-Chinese,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1,1,35,35,35,35,35,35
sbom-tool,zero-shot-gcn,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1,1,73,73,73,73,73,73
sbom-tool,Python-100-Days,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1,1,480,480,480,480,480,480
sbom-tool,python-future,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,0,3,3,1,1,0,0,3,1,3,2,3,0,3,0,0,3,0,0,0,3,3,423,423,423,423,423,423
sbom-tool,Git-Auto-Deploy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,17,17,17,17,0,17,17,1,1,0,0,17,1,17,9,17,0,17,0,0,17,0,0,0,17,17,151,151,151,151,151,151
sbom-tool,neural_renderer,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1,1,98,98,98,98,98,98
sbom-tool,huey,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1,1,129,129,129,129,129,129
sbom-tool,python-lsp-server,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1,1,121,121,121,121,121,121
sbom-tool,hammer,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1,1,29,29,29,29,29,29
sbom-tool,connexion,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,0,7,7,1,1,0,0,7,1,7,6,7,0,7,0,0,7,0,0,0,7,7,274,274,274,274,274,274
sbom-tool,supervision-by-registration,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1,1,107,107,107,107,107,107
sbom-tool,MixNMatch,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1,1,75,75,75,75,75,75
sbom-tool,docker-autocompose,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,18,18,18,18,0,18,18,1,1,0,0,18,1,18,14,18,0,18,0,0,18,0,0,0,18,18,33,33,33,33,33,33
sbom-tool,pip-tools,1,1,1,1,1,1,1,1,1,1,1,1,1,1,60,60,60,60,60,0,60,60,1,1,0,0,60,1,60,50,60,0,60,0,0,60,0,0,0,60,60,135,135,135,135,135,135
sbom-tool,CapsGNN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1,1,99,99,99,99,99,99
sbom-tool,xadmin,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,11,11,11,11,0,11,11,1,1,0,0,11,1,11,7,11,0,11,0,0,11,0,0,0,11,11,442,442,442,442,442,442
sbom-tool,public-writeup,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,0,3,3,1,1,0,0,3,1,3,0,3,0,3,0,0,3,0,0,0,3,3,866,866,866,866,866,866
sbom-tool,BioGPT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,35,35,35,35,35,0,35,35,1,1,0,0,35,1,35,32,35,0,35,0,0,35,0,0,0,35,35,133,133,133,133,133,133
sbom-tool,pyTelegramBotAPI,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,25,25,25,25,0,25,25,1,1,0,0,25,1,25,20,25,0,25,0,0,25,0,0,0,25,25,217,217,217,217,217,217
sbom-tool,flocker,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1,1,779,779,779,779,779,779
sbom-tool,nginx-proxy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1,1,243,243,243,243,243,243
