tool,repo,Name_exist,Name_true_exist,spdxVersion_exist,spdxVersion_true_exist,dataLicense_exist,dataLicense_true_exist,SPDXID_exist,SPDXID_true_exist,documentNamespace_exist,documentNamespace_true_exist,creators_exist,creators_true_exist,created_exist,created_true_exist,name_exist,name_true_exist,spdxid_exist,spdxid_true_exist,downloadLocation_exist,downloadLocation_true_exist,versionInfo_exist,versionInfo_true_exist,packageVerificationCode_exist,packageVerificationCode_true_exist,originator_exist,originator_true_exist,supplier_exist,supplier_true_exist,licenseConcluded_exist,licenseConcluded_true_exist,licenseDeclared_exist,licenseDeclared_true_exist,copyrightText_exist,copyrightText_true_exist,externalRefs_exist,externalRefs_true_exist,cpe_exist,cpe_true_exist,cpe_pkg_level,purl_exist,purl_true_exist,name_exist,name_true_exist,spdxid_exist,spdxid_true_exist,checksum_exist,checksum_true_exist
syft,Mastodon,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
syft,snake,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
syft,osx-gcc-installer,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
syft,opentracing-python,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,0,1,1,0,0,1,1,2,1,2,0,2,1,1,0,1,1,27,27,1,1,1,4,4,4,4,4,4
syft,LTSF-Linear,1,1,1,1,1,1,1,1,1,1,1,1,1,1,74,74,74,74,74,0,73,73,0,0,0,0,74,0,74,0,74,0,73,0,1,73,1325,1325,73,73,73,3,3,3,3,3,3
syft,WoeUSB-ng,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
syft,d2l-en,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,16,16,16,16,0,15,15,0,0,0,0,16,0,16,0,16,0,15,0,1,15,157,157,15,13,13,5,5,5,5,5,5
syft,CloserLookFewShot,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
syft,GitGot,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1
syft,weibo_terminater,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0,0,2,0,2,0,2,0,1,0,1,1,12,12,1,1,1,1,1,1,1,1,1
